N_100	N_10	T_12	T_13	N_14	N_15	T_16	N_17	T_18	T_20	N_21	T_23	N_25	T_26	N_27	N_28	T_29	N_2	T_30	T_31	N_32	N_33	N_34	N_35	N_36	N_37	N_38	T_39	T_3	T_40	T_41	N_42	T_43	N_44	T_45	T_49	N_4	T_51	N_53	T_54	T_56	N_57	T_59	T_5	N_60	T_61	N_62	N_63	T_66	T_67	T_69	T_6	T_70	N_71	N_72	N_74	T_75	T_79	N_7	N_80	T_82	T_83	N_84	T_85	N_86	T_87	T_88	N_89	N_90	N_91	T_92	T_93	T_94	N_95	N_97	T_98	N_99	N_9	Organism	Protein.Existence	Protein.Length	Number.Of.Imputations	N_vs_T_logFC	N_vs_T_AveExpr	N_vs_T_t	N_vs_T_P.Value	N_vs_T_adj.P.Val	N_vs_T_B	N_vs_T_-log(P.Value)	N_vs_T_-log(adj.P.Val)	Protein	Protein.ID	Entry.Name	Gene	Description	Indistinguishable.Proteins	N_vs_T_Valid	N_vs_T_Significant
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	C	C	N	N	N	N	N	N	N	N	N	N	T	T	T	T	T	T	T	T
#!{C:Experiments}N	N	T	T	N	N	T	N	T	T	N	T	N	T	N	N	T	N	T	T	N	N	N	N	N	N	N	T	T	T	T	N	T	N	T	T	N	T	N	T	T	N	T	T	N	T	N	N	T	T	T	T	T	N	N	N	T	T	N	N	T	T	N	T	N	T	T	N	N	N	T	T	T	N	N	T	N	N																				
23.589157104492188	23.362688064575195	25.79486846923828	26.606163024902344	23.060039520263672	22.27216148376465	26.810937881469727	24.734050750732422	27.50102996826172	27.502452850341797	22.20546531677246	25.70353889465332	27.244579315185547	23.327451705932617	26.447906494140625	25.87553596496582	25.418907165527344	26.183610916137695	25.29261589050293	24.97693634033203	25.923736572265625	25.38824462890625	25.52062225341797	23.85946273803711	26.7095947265625	25.678457260131836	23.261917114257812	27.28095817565918	25.98313331604004	24.550235748291016	26.375076293945312	27.001731872558594	22.701629638671875	22.853736877441406	27.211162567138672	26.62781524658203	23.309181213378906	24.63931655883789	25.25865364074707	25.222658157348633	27.43160057067871	22.403718948364258	25.998493194580078	27.891551971435547	25.988235473632812	26.88632583618164	27.612817764282227	25.07971954345703	22.55898666381836	28.631975173950195	26.342966079711914	26.990341186523438	26.98936653137207	26.73952865600586	22.212486267089844	26.441055297851562	27.282928466796875	23.54450225830078	23.086265563964844	22.690082550048828	25.262378692626953	26.083145141601562	25.490095138549805	23.05746078491211	25.28070831298828	25.32369613647461	25.86916160583496	26.99837875366211	26.82788848876953	22.6829833984375	28.010372161865234	26.793237686157227	25.27831268310547	25.705272674560547	22.37953758239746	26.457813262939453	22.961580276489258	23.69491195678711	Homo sapiens	1:Experimental evidence at protein level	116	22	1.10012612993041	25.3321611581767	3.17918466619749	0.00209121093684209	0.00792864023907001	-1.70959606439704	2.67960215843714	2.10080128775228	sp|A0A075B6H7|KV37_HUMAN	A0A075B6H7	KV37_HUMAN	IGKV3-7	Probable non-functional immunoglobulin kappa variable 3-7		+	+
26.988008499145508	25.63939666748047	26.955997467041016	27.718656539916992	27.245609283447266	25.430673599243164	26.785049438476562	26.240598678588867	27.963808059692383	28.450857162475586	26.819774627685547	27.984050750732422	28.102209091186523	23.381784439086914	27.52823829650879	27.266027450561523	27.674930572509766	27.35974884033203	26.545915603637695	26.38393783569336	26.64168930053711	25.555980682373047	26.18475914001465	26.412242889404297	28.44291114807129	25.75773811340332	26.61835289001465	27.91697120666504	26.952892303466797	26.606496810913086	26.959243774414062	26.98262596130371	27.315921783447266	27.082643508911133	27.521589279174805	27.44154930114746	26.86516761779785	26.6629581451416	26.237157821655273	26.46630096435547	28.64217758178711	26.92025375366211	27.76361846923828	27.154144287109375	26.846317291259766	28.2445068359375	27.94390106201172	27.048330307006836	28.04930877685547	28.82264518737793	26.585357666015625	28.73798370361328	26.863121032714844	27.343542098999023	27.078306198120117	26.66279411315918	27.521711349487305	22.64314842224121	23.96880340576172	27.222061157226562	27.15250587463379	26.046493530273438	25.283447265625	26.33918571472168	26.595752716064453	26.178508758544922	25.80171775817871	26.993144989013672	27.24727439880371	26.26738739013672	27.777034759521484	27.791791915893555	25.026023864746094	27.298120498657227	26.798044204711914	26.314250946044922	23.67238998413086	27.53010368347168	Homo sapiens	3:Protein inferred from homology	120	4	0.18922328894655	26.8337733114787	0.800734229574962	0.42562356425141	0.536179371707986	-6.07586118571168	0.370974335738715	0.270689898532409	sp|A0A075B6P5|KV228_HUMAN	A0A075B6P5	KV228_HUMAN	IGKV2-28	Immunoglobulin kappa variable 2-28	sp|P01615|KVD28_HUMAN	+	
22.986663818359375	26.71485137939453	22.524845123291016	25.516128540039062	22.698076248168945	24.88544464111328	25.48381233215332	26.16803741455078	26.488338470458984	27.156038284301758	23.225322723388672	25.186113357543945	26.648324966430664	22.565631866455078	25.902982711791992	25.565753936767578	24.85512351989746	25.54582405090332	24.872329711914062	24.234411239624023	23.363697052001953	23.143896102905273	23.272716522216797	23.55461311340332	27.673721313476562	23.597211837768555	22.61480712890625	26.673959732055664	22.922880172729492	23.92636489868164	25.36514663696289	26.4329776763916	25.72287368774414	22.466930389404297	26.54463768005371	22.86670684814453	25.281753540039062	24.082218170166016	23.12616539001465	25.76178741455078	26.81216812133789	26.08003044128418	25.291433334350586	27.400951385498047	25.567163467407227	25.56121826171875	27.846820831298828	25.764366149902344	26.5737247467041	26.949270248413086	22.249698638916016	25.73000144958496	26.252195358276367	22.0096435546875	25.950708389282227	25.495454788208008	25.66254425048828	25.70077896118164	22.99628448486328	21.92964744567871	24.114871978759766	22.210834503173828	22.76518440246582	23.229591369628906	23.37957763671875	22.652223587036133	25.619033813476562	25.805002212524414	26.3847599029541	25.821502685546875	27.022205352783203	24.886821746826172	23.412696838378906	25.681842803955078	22.87064552307129	25.926958084106445	22.23992156982422	26.556779861450195	Homo sapiens	3:Protein inferred from homology	115	28	0.282129317821607	24.8172659374194	0.809054217643178	0.420849628390945	0.531508999343877	-6.06932268409022	0.375873051968737	0.274489377740311	sp|A0A0A0MRZ8|KVD11_HUMAN	A0A0A0MRZ8	KVD11_HUMAN	IGKV3D-11	Immunoglobulin kappa variable 3D-11	sp|P04433|KV311_HUMAN	+	
32.858436584472656	32.585697174072266	32.519325256347656	32.61862564086914	31.784835815429688	32.708282470703125	32.815223693847656	33.10396194458008	32.316009521484375	33.06576156616211	32.7672119140625	32.190330505371094	32.18104934692383	32.46072769165039	32.696533203125	32.74718475341797	31.993732452392578	32.456504821777344	32.85802459716797	32.52888870239258	32.22331237792969	32.456729888916016	32.70686721801758	32.46562957763672	32.50212478637695	32.439964294433594	32.71592330932617	32.81019592285156	32.430625915527344	32.74701690673828	32.912357330322266	33.11702346801758	33.116249084472656	32.70501708984375	33.53969192504883	33.4609375	32.34721755981445	31.80221176147461	31.988819122314453	31.664167404174805	33.33068084716797	33.56991958618164	32.996429443359375	32.819610595703125	32.93913269042969	32.02043151855469	32.767086029052734	32.281925201416016	32.78865051269531	32.74541473388672	32.957725524902344	32.96107482910156	32.7123908996582	32.32061767578125	33.05967712402344	32.56888198852539	28.76578140258789	33.18363571166992	32.851226806640625	33.25336837768555	32.92081069946289	32.84988021850586	32.81660842895508	32.69278335571289	32.32633972167969	33.24415588378906	32.5228271484375	32.59138488769531	32.953731536865234	32.668617248535156	32.81611251831055	32.72746658325195	32.78935623168945	32.86107635498047	33.0589599609375	33.00181579589844	32.932132720947266	33.88240051269531	Homo sapiens	1:Experimental evidence at protein level	122	0	-0.241087365102409	32.666853118479	-1.63958662042617	0.104962172542286	0.178205007228387	-5.08906693567719	0.978967188702392	0.749080097262632	sp|A0A2R8Y619|H2BK1_HUMAN	A0A2R8Y619	H2BK1_HUMAN	H2BK1	Histone H2B type 2-K1		+	
24.553831100463867	25.02147102355957	23.571107864379883	24.738834381103516	24.82019805908203	25.154359817504883	24.716163635253906	24.813369750976562	24.419498443603516	24.640050888061523	24.715587615966797	24.240219116210938	22.472980499267578	24.743423461914062	25.369834899902344	24.54147720336914	24.265871047973633	24.874147415161133	24.521812438964844	24.93622398376465	24.689170837402344	25.146921157836914	24.2904052734375	24.553133010864258	23.055753707885742	24.619564056396484	24.557575225830078	21.659809112548828	24.678953170776367	22.544185638427734	23.28304672241211	24.977848052978516	25.28351593017578	23.63479232788086	24.722715377807617	23.650177001953125	24.818187713623047	24.763471603393555	22.690927505493164	25.069942474365234	24.320396423339844	24.72298812866211	23.471759796142578	24.539722442626953	24.08596420288086	24.139402389526367	23.14339828491211	24.129487991333008	23.86661148071289	24.152027130126953	24.425457000732422	24.034515380859375	24.377235412597656	25.62854766845703	23.6204776763916	24.265296936035156	24.17128562927246	24.629322052001953	25.05841636657715	24.134233474731445	24.48637580871582	24.073556900024414	24.973857879638672	24.19685173034668	24.122465133666992	22.171890258789062	24.36505126953125	24.619749069213867	23.741151809692383	24.390214920043945	23.863571166992188	24.46432113647461	24.862712860107422	24.70343780517578	24.86039924621582	24.561323165893555	24.261375427246094	23.171777725219727	Homo sapiens	1:Experimental evidence at protein level	921	7	-0.323209849581907	24.2922438194791	-1.78798211878351	0.0775115186075891	0.141304184364278	-4.84772028711352	1.11063375431949	0.849844977433754	sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2		+	
23.354995727539062	24.73529624938965	23.303625106811523	23.37101173400879	24.787174224853516	24.509979248046875	22.73712921142578	24.594606399536133	23.44613265991211	23.7407283782959	24.059341430664062	23.859729766845703	23.63079833984375	23.839920043945312	22.90260124206543	24.383262634277344	24.36609649658203	24.922801971435547	24.21283531188965	24.443782806396484	22.869125366210938	24.244661331176758	24.818965911865234	23.151411056518555	24.577787399291992	24.847152709960938	24.919923782348633	24.121532440185547	23.147212982177734	23.637920379638672	22.86478042602539	22.83385467529297	24.534446716308594	23.992786407470703	23.555143356323242	23.567323684692383	24.76165008544922	23.42408561706543	23.626636505126953	24.206050872802734	22.789161682128906	22.768489837646484	23.4896183013916	25.280746459960938	23.641231536865234	25.030176162719727	24.174272537231445	24.946388244628906	22.600345611572266	23.163848876953125	24.68128204345703	23.896358489990234	22.639020919799805	25.042387008666992	23.846145629882812	24.142898559570312	23.833667755126953	23.904190063476562	24.82145881652832	23.275754928588867	24.723493576049805	23.00478172302246	24.63059425354004	25.249732971191406	25.13355255126953	23.17095375061035	24.821361541748047	24.671741485595703	25.03664207458496	24.662490844726562	23.335006713867188	24.4968204498291	24.730854034423828	24.347434997558594	24.322389602661133	24.753293991088867	24.689165115356445	23.026958465576172	Homo sapiens	1:Experimental evidence at protein level	632	8	-0.482594575368285	24.0231040963926	-2.76288441904944	0.00708584562667712	0.0209524047717056	-2.80393017983063	2.14960831350617	1.67876612452841	sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2		+	+
23.204273223876953	22.73213005065918	23.48318099975586	21.611787796020508	22.986875534057617	24.80927848815918	23.37175941467285	24.197444915771484	23.98865509033203	23.390520095825195	23.16489028930664	23.444637298583984	22.799781799316406	24.263168334960938	23.200424194335938	24.202890396118164	23.92853546142578	22.09827995300293	23.41386604309082	23.354463577270508	22.93027687072754	24.18305778503418	24.17264175415039	23.35480308532715	23.1933536529541	22.847257614135742	23.76226043701172	23.77225112915039	22.52078628540039	23.869829177856445	23.99771499633789	23.47097396850586	24.68146324157715	23.77448081970215	23.22810935974121	23.914079666137695	24.58539581298828	23.26110076904297	24.214439392089844	23.138099670410156	22.53166961669922	22.775867462158203	21.940322875976562	24.374813079833984	23.360660552978516	24.02798843383789	23.637502670288086	23.708526611328125	22.846338272094727	23.572437286376953	23.963336944580078	22.171524047851562	23.566938400268555	22.476112365722656	23.68543815612793	23.472610473632812	24.436063766479492	23.405982971191406	23.344045639038086	23.013973236083984	23.542692184448242	23.843910217285156	24.716157913208008	24.542892456054688	23.443140029907227	23.200830459594727	22.939958572387695	23.779361724853516	23.285221099853516	23.374460220336914	23.882389068603516	21.567983627319336	24.374420166015625	22.546916961669922	23.853036880493164	23.943330764770508	23.857946395874023	23.3128662109375	Homo sapiens	1:Experimental evidence at protein level	2371	22	-0.131317639214998	23.4725513448708	-0.826054290676864	0.41119524491312	0.522687174991219	-6.0557560620659	0.385951916191607	0.281758155916934	sp|A2RRP1|NBAS_HUMAN	A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex		+	
24.78781509399414	28.274120330810547	27.672815322875977	27.556583404541016	26.687698364257812	26.91270637512207	27.434494018554688	27.996402740478516	25.90442657470703	27.15955352783203	25.158910751342773	28.300628662109375	27.71908187866211	27.47994613647461	26.395917892456055	25.226634979248047	26.00444221496582	27.028871536254883	26.94598388671875	28.571826934814453	27.917325973510742	28.203786849975586	22.85768699645996	23.003963470458984	22.180686950683594	23.023067474365234	24.623455047607422	22.955556869506836	25.752368927001953	22.160160064697266	22.326459884643555	23.054819107055664	23.651458740234375	21.319358825683594	23.29705810546875	21.962249755859375	26.88157081604004	24.956480026245117	23.524227142333984	22.42068862915039	22.710018157958984	23.441204071044922	24.0491943359375	27.987327575683594	22.527952194213867	24.0218563079834	24.413171768188477	23.14653205871582	22.643203735351562	23.054147720336914	24.86571502685547	28.578208923339844	23.103330612182617	25.043745040893555	24.857601165771484	24.04693031311035	24.784442901611328	24.270538330078125	27.73614501953125	23.212181091308594	22.905010223388672	22.392925262451172	25.196544647216797	25.242521286010742	22.72697639465332	21.85345458984375	25.39284896850586	22.963926315307617	22.721572875976562	23.115182876586914	24.32732391357422	24.97107696533203	24.785133361816406	24.6787109375	24.105703353881836	24.885404586791992	24.56890869140625	23.935693740844727	Homo sapiens	1:Experimental evidence at protein level	1075	20	-0.0366657704075699	24.803337410425	-0.0819990200089861	0.934849398217882	0.953361267489524	-6.38685974297324	0.0292583471927064	0.0207424962701767	sp|A5A3E0|POTEF_HUMAN	A5A3E0	POTEF_HUMAN	POTEF	POTE ankyrin domain family member F		+	
