id,label
NC_000020.11_2773,0
SPENO000736,1
sp|Q9H3K6|BOLA2_HUMAN,1
SPENO003701,1
NC_000005.10_5711,0
NC_000001.11_10502,0
NC_000009.12_3580,0
NC_000018.10_294,0
NC_000001.11_8842,0
sp|Q9UHP9|SMPX_HUMAN,1
NC_000017.11_6621,0
sp|A0A1B0GUV1|CQ114_HUMAN,1
NC_000004.12_7461,0
NC_000023.11_2136,0
NC_000002.12_1725,0
sp|P61513|RL37A_HUMAN,1
sp|P12838|DEF4_HUMAN,1
SPENO004199,1
NC_000001.11_3289,0
NC_000004.12_7004,0
NC_000017.11_2524,0
SPROHSA195944,1
SPROHSA191066,1
sp|Q9P1F3|ABRAL_HUMAN,1
NC_000002.12_6936,0
NC_000014.9_5010,0
NC_000019.10_8809,0
NC_000001.11_16578,0
sp|Q96GX2|A7L3B_HUMAN,1
SPROHSA199120,1
SPENO004187,1
NC_000015.10_3231,0
NC_000020.11_1373,0
sp|A0A1B0GU71|C97D2_HUMAN,1
NC_000011.10_6421,0
sp|Q9UNZ5|L10K_HUMAN,1
SPENO002933,1
NC_000006.12_8508,0
NC_000023.11_4750,0
NC_000003.12_6581,0
NC_000012.12_3684,0
NC_000003.12_9045,0
SPENO005545,1
NC_000007.14_2796,0
SPENO003677,1
SPENO004522,1
NC_000009.12_5831,0
NC_000013.11_1558,0
NC_000002.12_8023,0
NC_000023.11_5345,0
NC_000017.11_2303,0
NC_000001.11_16448,0
sp|A0A1B0GVZ2|F240B_HUMAN,1
SPENO005816,1
sp|P07919|QCR6_HUMAN,1
NC_000006.12_7395,0
sp|Q15053|K0040_HUMAN,1
sp|Q4G0N7|F229B_HUMAN,1
NC_000001.11_15519,0
sp|P0DN84|DWORF_HUMAN,1
sp|A0A1B0GVY4|SIM31_HUMAN,1
sp|P61925|IPKA_HUMAN,1
NC_000001.11_11991,0
NC_000015.10_54,0
NC_000003.12_8656,0
NC_000004.12_3464,0
NC_000012.12_3856,0
SPROHSA158194,1
sp|P24311|COX7B_HUMAN,1
SPENO000819,1
