sequence_id,Label
NC_000022.11_16933566_16933853_-,1
NC_000011.10_81738310_81738495_-,1
NC_000013.11_50674446_50674544_+,1
NC_000007.14_119210946_119211164_-,1
NC_000008.11_86594159_86594260_+,1
NC_000023.11_106569607_106569765_-,1
NC_000002.12_230573165_230573443_-,1
NC_000003.12_70814292_70814357_-,1
NC_000008.11_113851611_113851709_+,1
NC_000010.11_91807179_91807439_-,1
NC_000010.11_68316521_68316622_+,1
NC_000017.11_43476366_43476665_+,1
NC_000001.11_21205550_21205762_+,1
NC_000012.12_122389217_122389279_+,1
NC_000012.12_123383979_123384200_-,1
NC_000001.11_168055901_168055984_-,1
NC_000019.10_9518279_9518548_+,1
NC_000001.11_154657537_154657674_-,1
NC_000023.11_38479720_38479833_+,1
NC_000012.12_108003964_108004077_+,1
NC_000011.10_63047389_63047538_+,1
NC_000023.11_115718942_115719229_-,1
NC_000008.11_101212165_101212269_+,1
NC_000019.10_41506152_41506448_+,1
NC_000001.11_47068314_47068472_-,1
NC_000011.10_106824850_106824957_+,1
NC_000016.10_9437973_9438194_-,1
NC_000006.12_37044929_37045189_+,1
NC_000001.11_146011109_146011291_+,1
NC_000011.10_60198603_60198632_-,1
NC_000008.11_104767848_104768000_+,1
NC_000001.11_237802650_237802748_-,1
NC_000016.10_33803021_33803311_+,1
NC_000023.11_96479759_96479908_+,1
NC_000007.14_115875933_115876043_+,1
NC_000003.12_153203606_153203764_-,1
NC_000004.12_45625619_45625753_+,0
NC_000003.12_176300797_176300838_+,0
NC_000004.12_78859559_78859612_-,0
NC_000016.10_73706764_73706961_+,0
NC_000012.12_59193279_59193323_+,0
NC_000012.12_117233385_117233552_+,0
NC_000023.11_149454753_149454791_+,0
NC_000023.11_20898148_20898270_+,0
NC_000009.12_36862013_36862096_+,0
NC_000002.12_34380639_34380890_-,0
NC_000001.11_87212027_87212236_-,0
NC_000012.12_112496472_112496510_-,0
NC_000003.12_191907928_191907984_-,0
NC_000009.12_125246326_125246391_-,0
NC_000013.11_106498279_106498368_+,0
NC_000013.11_63274983_63275057_+,0
NC_000017.11_41647969_41648250_+,0
NC_000021.9_32958177_32958290_-,0
NC_000006.12_42199409_42199567_+,0
NC_000003.12_128649623_128649712_+,0
NC_000014.9_81591359_81591460_-,0
NC_000002.12_28451437_28451583_-,0
NC_000003.12_47763292_47763357_+,0
NC_000004.12_64231024_64231083_+,0
NC_000015.10_28679189_28679275_-,0
NC_000006.12_21484263_21484370_+,0
NC_000001.11_79268898_79269023_-,0
NC_000014.9_34787812_34788006_+,0
NC_000003.12_113662822_113662887_+,0
NC_000008.11_28467853_28467936_+,0
NC_000008.11_85626345_85626509_-,0
NC_000012.12_67623735_67623806_+,0
NC_000004.12_152552237_152552386_-,0
NC_000002.12_28875641_28875733_-,0
NC_000016.10_61022572_61022634_+,0
NC_000020.11_38376260_38376337_-,0
