id,label
NC_000003.12_2832,0
NC_000009.12_4583,0
NC_000002.12_8699,0
NC_000001.11_15214,0
SPENO004706,1
sp|A0A7L8Y648|MIAC_HUMAN,1
NC_000006.12_6744,0
SPENO003907,1
NC_000001.11_14624,0
NC_000003.12_1605,0
NC_000001.11_3155,0
NC_000019.10_4289,0
NC_000002.12_7403,0
NC_000002.12_11058,0
NC_000003.12_2751,0
NC_000003.12_1444,0
NC_000012.12_247,0
NC_000023.11_793,0
sp|Q96KT6|CH014_HUMAN,1
sp|Q9BUK0|CHCH7_HUMAN,1
SPENO002231,1
NC_000004.12_1472,0
SPENO002349,1
sp|P22528|SPR1B_HUMAN,1
sp|Q8N5W8|FA24B_HUMAN,1
sp|Q9UBK5|HCST_HUMAN,1
NC_000007.14_7062,0
SPENO002785,1
SPROHSA400421,1
sp|Q9UBI6|GBG12_HUMAN,1
NC_000003.12_2623,0
sp|A0A096LP01|SIM26_HUMAN,1
SPENO003641,1
NC_000003.12_8628,0
NC_000020.11_912,0
NC_000017.11_7078,0
NC_000014.9_4725,0
sp|P04553|HSP1_HUMAN,1
SPENO006439,1
NC_000023.11_4640,0
sp|P0DQW1|SIM46_HUMAN,1
sp|P10997|IAPP_HUMAN,1
SPENO001150,1
sp|Q3LHN1|KR213_HUMAN,1
sp|P23297|S10A1_HUMAN,1
SPENO003701,1
NC_000002.12_8023,0
SPENO000579,1
NC_000003.12_8309,0
SPENO000695,1
NC_000015.10_4720,0
SPROHSA412891,1
NC_000008.11_3004,0
sp|P80098|CCL7_HUMAN,1
NC_000016.10_2789,0
sp|P05109|S10A8_HUMAN,1
SPROHSA159880,1
NC_000011.10_8115,0
NC_000002.12_9815,0
SPROHSA150642,1
NC_000009.12_2953,0
NC_000005.10_7380,0
NC_000010.11_4120,0
sp|Q99616|CCL13_HUMAN,1
sp|P81172|HEPC_HUMAN,1
NC_000007.14_2783,0
NC_000019.10_5719,0
sp|P0C7T4|HMSDV_HUMAN,1
SPENO000027,1
NC_000016.10_2349,0
NC_000010.11_4485,0
NC_000012.12_7700,0
SPENO005750,1
sp|Q9UNZ5|L10K_HUMAN,1
NC_000017.11_6641,0
sp|A0A0U1RRA0|ZNOS_HUMAN,1
sp|Q5SY13|COAS1_HUMAN,1
sp|Q5MJ08|SPXN4_HUMAN,1
sp|A6NJ69|IGIP_HUMAN,1
NC_000015.10_2077,0
SPENO002472,1
NC_000004.12_3700,0
NC_000019.10_2994,0
NC_000003.12_3786,0
NC_000015.10_505,0
SPENO006652,1
sp|O94777|DPM2_HUMAN,1
sp|C0HLZ6|HAS3P_HUMAN,1
NC_000015.10_534,0
SPROHSA408996,1
sp|Q9C002|NMES1_HUMAN,1
SPENO004365,1
NC_000006.12_8178,0
sp|Q5T5A8|LCE3C_HUMAN,1
sp|P50151|GBG10_HUMAN,1
sp|O75711|SCRG1_HUMAN,1
NC_000015.10_3492,0
NC_000002.12_7873,0
sp|A0A1B0GVZ2|F240B_HUMAN,1
sp|P07311|ACYP1_HUMAN,1
SPENO003681,1
SPROHSA399993,1
SPENO004023,1
SPENO000567,1
sp|Q9BZP3|CR002_HUMAN,1
sp|P59646|FXYD4_HUMAN,1
NC_000007.14_145,0
NC_000023.11_1316,0
sp|Q96S95|CK2N2_HUMAN,1
SPENO000860,1
NC_000023.11_454,0
NC_000016.10_440,0
sp|Q9Y675|SNURF_HUMAN,1
SPENO001028,1
sp|P03928|ATP8_HUMAN,1
sp|P59037|CU084_HUMAN,1
NC_000001.11_8842,0
SPENO001123,1
sp|Q30KP8|DB136_HUMAN,1
sp|P56381|ATP5E_HUMAN,1
SPENO003085,1
SPENO000313,1
NC_000007.14_4849,0
NC_000013.11_604,0
SPROHSA191067,1
NC_000017.11_7322,0
NC_000013.11_518,0
NC_000012.12_6315,0
sp|P0DPP9|ETDB_HUMAN,1
NC_000005.10_654,0
sp|Q96PS6|GAFA1_HUMAN,1
NC_000001.11_7922,0
NC_000014.9_2873,0
NC_000010.11_5643,0
sp|O60575|ISK4_HUMAN,1
NC_000001.11_3756,0
SPENO003776,1
SPENO000686,1
NC_000016.10_5074,0
NC_000010.11_6862,0
SPENO004836,1
NC_000001.11_10626,0
NC_000010.11_972,0
sp|Q0VDE8|ADIG_HUMAN,1
NC_000015.10_2920,0
NC_000003.12_2400,0
NC_000009.12_5878,0
NC_000006.12_2366,0
NC_000007.14_7763,0
sp|Q9UHT4|YG001_HUMAN,1
NC_000006.12_11,0
NC_000012.12_3895,0
SPENO000942,1
NC_000022.11_1806,0
SPENO003700,1
sp|Q99731|CCL19_HUMAN,1
SPENO003642,1
SPENO000661,1
NC_000018.10_370,0
NC_000024.10_161,0
NC_000017.11_6714,0
NC_000007.14_7792,0
sp|A6NNX1|RIAD1_HUMAN,1
sp|Q9HD34|LYRM4_HUMAN,1
SPENO003400,1
NC_000015.10_5193,0
NC_000018.10_2065,0
NC_000019.10_2872,0
NC_000005.10_6712,0
NC_000007.14_5555,0
NC_000007.14_3439,0
NC_000009.12_6450,0
sp|Q8IUB5|WFD13_HUMAN,1
NC_000015.10_3428,0
SPROHSA405545,1
SPENO005572,1
NC_000019.10_5464,0
NC_000006.12_1058,0
SPENO004197,1
SPENO002268,1
NC_000011.10_5941,0
NC_000006.12_3676,0
NC_000023.11_5541,0
NC_000019.10_4913,0
SPENO006647,1
sp|A0A096LNP1|D131B_HUMAN,1
NC_000007.14_7435,0
sp|P22362|CCL1_HUMAN,1
sp|O14625|CXL11_HUMAN,1
NC_000014.9_3785,0
NC_000023.11_5502,0
NC_000005.10_8491,0
NC_000015.10_4399,0
NC_000007.14_5526,0
sp|Q9UK08|GBG8_HUMAN,1
sp|B3EWG3|FM25A_HUMAN,1
sp|Q96FQ7|CR018_HUMAN,1
NC_000005.10_8800,0
SPROHSA398636,1
sp|Q0VDD5|CQ091_HUMAN,1
sp|Q8WXC6|CSN9_HUMAN,1
NC_000005.10_4448,0
NC_000006.12_472,0
SPENO004759,1
sp|Q9Y6G1|TM14A_HUMAN,1
NC_000013.11_922,0
SPENO006139,1
NC_000001.11_9627,0
NC_000022.11_2388,0
NC_000012.12_7646,0
NC_000003.12_7445,0
SPENO000525,1
NC_000011.10_206,0
NC_000016.10_446,0
sp|Q30KQ1|DB133_HUMAN,1
NC_000023.11_5830,0
NC_000009.12_110,0
sp|Q8TCD1|CR032_HUMAN,1
sp|P61580|NP10_HUMAN,1
sp|A8MV81|HIG1C_HUMAN,1
NC_000013.11_1057,0
NC_000012.12_6853,0
SPROHSA395653,1
sp|Q6W349|CD011_HUMAN,1
NC_000008.11_4719,0
NC_000009.12_6195,0
NC_000018.10_2307,0
NC_000017.11_4543,0
SPENO003337,1
NC_000004.12_7461,0
NC_000011.10_6479,0
NC_000007.14_6791,0
NC_000001.11_1484,0
sp|P80511|S10AC_HUMAN,1
NC_000009.12_962,0
sp|O75506|HSBP1_HUMAN,1
NC_000017.11_1155,0
SPROHSA404129,1
SPROHSA396010,1
NC_000001.11_6925,0
NC_000006.12_323,0
NC_000002.12_1718,0
SPROHSA186046,1
sp|P01148|GON1_HUMAN,1
sp|Q0VGL1|LTOR4_HUMAN,1
NC_000009.12_2900,0
sp|Q9BUW7|BBLN_HUMAN,1
SPENO005841,1
SPENO002957,1
NC_000011.10_5854,0
NC_000003.12_691,0
SPROHSA405633,1
NC_000005.10_6836,0
NC_000010.11_2143,0
sp|Q96T75|DSCR8_HUMAN,1
NC_000017.11_5785,0
SPROHSA183177,1
SPENO003324,1
sp|A2JGV3|TARP_HUMAN,1
NC_000008.11_5057,0
NC_000006.12_2107,0
NC_000006.12_8074,0
NC_000015.10_394,0
NC_000003.12_4615,0
NC_000017.11_6033,0
SPROHSA408310,1
SPENO001423,1
NC_000011.10_9500,0
sp|C0HLV8|MP31_HUMAN,1
NC_000018.10_1624,0
SPROHSA212929,1
NC_000015.10_3564,0
SPENO000670,1
sp|A8MTT3|CEBOS_HUMAN,1
sp|Q9NQG1|MANBL_HUMAN,1
sp|Q4QY38|DB134_HUMAN,1
NC_000011.10_8401,0
SPENO006618,1
NC_000019.10_7085,0
NC_000007.14_2753,0
NC_000002.12_9165,0
sp|Q8WWR9|PDPFL_HUMAN,1
SPENO001790,1
sp|Q13296|SG2A2_HUMAN,1
SPENO005520,1
SPENO005060,1
SPENO000473,1
sp|P0CJ74|HMN7_HUMAN,1
sp|Q9UHA2|S18L2_HUMAN,1
sp|P63211|GBG1_HUMAN,1
sp|P0C841|FA66E_HUMAN,1
NC_000009.12_6573,0
NC_000002.12_3948,0
SPENO002309,1
SPENO006179,1
NC_000002.12_10987,0
SPENO005711,1
sp|Q9NRP2|COXM2_HUMAN,1
NC_000002.12_6593,0
SPENO001942,1
SPROHSA152996,1
sp|Q6YFQ2|CX6B2_HUMAN,1
NC_000011.10_8693,0
NC_000012.12_8896,0
NC_000001.11_9450,0
SPENO005004,1
NC_000009.12_1240,0
SPENO004858,1
NC_000019.10_5624,0
SPENO006367,1
sp|B0L3A2|DESPR_HUMAN,1
NC_000001.11_8503,0
NC_000017.11_2057,0
NC_000013.11_1179,0
sp|A0A1B0GVT2|SIM36_HUMAN,1
sp|P60606|CTXN1_HUMAN,1
NC_000017.11_7619,0
NC_000019.10_4544,0
SPENO004278,1
SPROHSA405461,1
NC_000006.12_4575,0
NC_000005.10_7686,0
NC_000003.12_2622,0
NC_000004.12_4768,0
NC_000023.11_2572,0
NC_000001.11_13877,0
NC_000002.12_8791,0
NC_000001.11_11991,0
NC_000012.12_3088,0
NC_000020.11_1327,0
NC_000007.14_2221,0
sp|Q9BVW6|SMIM2_HUMAN,1
NC_000015.10_1902,0
sp|Q13956|CNCG_HUMAN,1
SPENO002623,1
sp|A8MWD9|RUXGL_HUMAN,1
NC_000003.12_5924,0
NC_000001.11_9416,0
NC_000007.14_2094,0
NC_000002.12_679,0
NC_000009.12_3899,0
NC_000007.14_1017,0
SPENO001549,1
NC_000014.9_5342,0
NC_000007.14_5631,0
NC_000012.12_2690,0
sp|O14957|QCR10_HUMAN,1
NC_000014.9_4122,0
NC_000023.11_3699,0
NC_000017.11_4273,0
