sequence_id,true_label
NC_000077.7_3068,0
NC_000068.8_13032,0
NC_000074.7_6230,0
NC_000077.7_1660,0
NC_000070.7_2903,0
NC_000086.8_4405,0
NC_000071.7_1237,0
NC_000086.8_2031,0
NC_000071.7_7139,0
NC_000079.7_6016,0
NC_000070.7_8441,0
NC_000068.8_12816,0
NC_000071.7_10006,0
NC_000086.8_7550,0
NC_000070.7_6715,0
NC_000085.7_3715,0
NC_000071.7_4972,0
NC_000073.7_2100,0
NC_000085.7_3096,0
NC_000067.7_419,0
NC_000067.7_4280,0
NC_000067.7_5427,0
NC_000077.7_11239,0
NC_000076.7_2082,0
NC_000073.7_1312,0
NC_000073.7_7270,0
NC_000083.7_8435,0
NC_000086.8_6311,0
NC_000079.7_3749,0
NC_000085.7_111,0
NC_000086.8_78,0
NC_000079.7_6570,0
NC_000075.7_7306,0
NC_000076.7_2941,0
NC_000080.7_6086,0
NC_000068.8_981,0
NC_000080.7_3043,0
NC_000070.7_754,0
NC_000080.7_3782,0
NC_000075.7_4300,0
NC_000080.7_657,0
NC_000067.7_3704,0
NC_000075.7_1607,0
NC_000081.7_4755,0
NC_000067.7_1190,0
NC_000080.7_5822,0
NC_000073.7_14954,0
NC_000086.8_2732,0
NC_000075.7_9296,0
NC_000077.7_5875,0
NC_000076.7_7487,0
NC_000069.7_657,0
NC_000076.7_4653,0
NC_000073.7_2420,0
NC_000078.7_3302,0
NC_000078.7_3055,0
NC_000073.7_11713,0
NC_000078.7_2744,0
NC_000078.7_6253,0
NC_000074.7_6203,0
NC_000068.8_11146,0
NC_000067.7_7485,0
NC_000078.7_3654,0
NC_000070.7_1831,0
NC_000074.7_2343,0
NC_000067.7_268,0
sp|Q8C1Q6|UQCC5_MOUSE,1
sp|Q8K0W9|DPH3_MOUSE,1
sp|P29595|NEDD8_MOUSE,1
sp|Q8BUR9|MZT1_MOUSE,1
sp|Q9CPQ1|COX6C_MOUSE,1
sp|B5KM66|SYCE3_MOUSE,1
sp|Q8BH51|COX14_MOUSE,1
sp|Q99KC7|SMAGP_MOUSE,1
sp|Q9WUQ7|DEXI_MOUSE,1
sp|P61807|SNN_MOUSE,1
sp|P56394|COX17_MOUSE,1
sp|P63054|PCP4_MOUSE,1
sp|Q8K459|PXT1_MOUSE,1
sp|Q62395|TFF3_MOUSE,1
sp|O35900|LSM2_MOUSE,1
sp|E9PXB6|SFTA2_MOUSE,1
sp|Q2Q5T5|MYMX_MOUSE,1
sp|Q9CQN3|TOM6_MOUSE,1
sp|Q99LT0|DPY30_MOUSE,1
sp|Q6UL01|MORN2_MOUSE,1
sp|Q07475|NREP_MOUSE,1
sp|Q8BXZ0|CTXN3_MOUSE,1
sp|Q99PE5|SMIM3_MOUSE,1
sp|Q64445|COX8A_MOUSE,1
sp|G3UW99|TEX54_MOUSE,1
sp|Q8K2T4|UQCC3_MOUSE,1
sp|Q80SW5|ETD_MOUSE,1
sp|Q61908|CMC4_MOUSE,1
sp|P56393|COX7B_MOUSE,1
sp|Q9DC77|SMPX_MOUSE,1
sp|P97816|S100G_MOUSE,1
sp|P28310|DEFA3_MOUSE,1
sp|Q6TAW2|SERP2_MOUSE,1
NC_000083.7_6292,0
sp|Q99M07|COA5_MOUSE,1
sp|Q61845|MEIG1_MOUSE,1
sp|Q8K3D3|SWI5_MOUSE,1
sp|P58686|BBLN_MOUSE,1
sp|Q9Z324|DPM2_MOUSE,1
sp|P62073|TIM10_MOUSE,1
sp|Q8CF31|FREY_MOUSE,1
sp|Q9CQS2|NOP10_MOUSE,1
sp|P84102|SERF2_MOUSE,1
sp|Q8BT35|MTLN_MOUSE,1
sp|P60603|ROMO1_MOUSE,1
sp|P62951|BLCAP_MOUSE,1
sp|Q61979|NNAT_MOUSE,1
sp|Q8R400|ADIG_MOUSE,1
sp|Q64356|SVS6_MOUSE,1
sp|Q3UW41|WFDC9_MOUSE,1
sp|Q0VG62|RBIS_MOUSE,1
sp|P61961|UFM1_MOUSE,1
sp|P0DN83|DWORF_MOUSE,1
sp|Q9D1Q4|DPM3_MOUSE,1
sp|Q9WVB6|LENEP_MOUSE,1
sp|Q8CGN8|SPRR4_MOUSE,1
sp|P97783|AF1Q_MOUSE,1
sp|B2B9E1|TRIQK_MOUSE,1
sp|Q8R033|LYRM2_MOUSE,1
sp|Q9CQQ0|SMIM8_MOUSE,1
sp|Q8K1D8|ENHO_MOUSE,1
sp|B1AXP6|TOM5_MOUSE,1
sp|Q99JP4|CDC26_MOUSE,1
sp|Q99LQ4|SVBP_MOUSE,1
sp|P09602|HMGN2_MOUSE,1
