Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	TotalPeptides/Length	SpectralCount/Length	UniqueSpectralCount/Length	TotalSpectralCount/Length	CRC_1 Spectral Count	CRC_11 Spectral Count	CRC_13 Spectral Count	CRC_15 Spectral Count	CRC_16 Spectral Count	CRC_19 Spectral Count	CRC_2 Spectral Count	CRC_20 Spectral Count	CRC_21 Spectral Count	CRC_4 Spectral Count	CRC_5 Spectral Count	CRC_6 Spectral Count	CRC_8 Spectral Count	CRC_9 Spectral Count	Control_1 Spectral Count	Control_11 Spectral Count	Control_13 Spectral Count	Control_15 Spectral Count	Control_16 Spectral Count	Control_19 Spectral Count	Control_2 Spectral Count	Control_20 Spectral Count	Control_21 Spectral Count	Control_4 Spectral Count	Control_5 Spectral Count	Control_6 Spectral Count	Control_8 Spectral Count	Control_9 Spectral Count	CRC_1 Unique Spectral Count	CRC_11 Unique Spectral Count	CRC_13 Unique Spectral Count	CRC_15 Unique Spectral Count	CRC_16 Unique Spectral Count	CRC_19 Unique Spectral Count	CRC_2 Unique Spectral Count	CRC_20 Unique Spectral Count	CRC_21 Unique Spectral Count	CRC_4 Unique Spectral Count	CRC_5 Unique Spectral Count	CRC_6 Unique Spectral Count	CRC_8 Unique Spectral Count	CRC_9 Unique Spectral Count	Control_1 Unique Spectral Count	Control_11 Unique Spectral Count	Control_13 Unique Spectral Count	Control_15 Unique Spectral Count	Control_16 Unique Spectral Count	Control_19 Unique Spectral Count	Control_2 Unique Spectral Count	Control_20 Unique Spectral Count	Control_21 Unique Spectral Count	Control_4 Unique Spectral Count	Control_5 Unique Spectral Count	Control_6 Unique Spectral Count	Control_8 Unique Spectral Count	Control_9 Unique Spectral Count	CRC_1 Total Spectral Count	CRC_11 Total Spectral Count	CRC_13 Total Spectral Count	CRC_15 Total Spectral Count	CRC_16 Total Spectral Count	CRC_19 Total Spectral Count	CRC_2 Total Spectral Count	CRC_20 Total Spectral Count	CRC_21 Total Spectral Count	CRC_4 Total Spectral Count	CRC_5 Total Spectral Count	CRC_6 Total Spectral Count	CRC_8 Total Spectral Count	CRC_9 Total Spectral Count	Control_1 Total Spectral Count	Control_11 Total Spectral Count	Control_13 Total Spectral Count	Control_15 Total Spectral Count	Control_16 Total Spectral Count	Control_19 Total Spectral Count	Control_2 Total Spectral Count	Control_20 Total Spectral Count	Control_21 Total Spectral Count	Control_4 Total Spectral Count	Control_5 Total Spectral Count	Control_6 Total Spectral Count	Control_8 Total Spectral Count	Control_9 Total Spectral Count	CRC_1 Intensity	CRC_11 Intensity	CRC_13 Intensity	CRC_15 Intensity	CRC_16 Intensity	CRC_19 Intensity	CRC_2 Intensity	CRC_20 Intensity	CRC_21 Intensity	CRC_4 Intensity	CRC_5 Intensity	CRC_6 Intensity	CRC_8 Intensity	CRC_9 Intensity	Control_1 Intensity	Control_11 Intensity	Control_13 Intensity	Control_15 Intensity	Control_16 Intensity	Control_19 Intensity	Control_2 Intensity	Control_20 Intensity	Control_21 Intensity	Control_4 Intensity	Control_5 Intensity	Control_6 Intensity	Control_8 Intensity	Control_9 Intensity	CRC_1 MaxLFQ Intensity	CRC_11 MaxLFQ Intensity	CRC_13 MaxLFQ Intensity	CRC_15 MaxLFQ Intensity	CRC_16 MaxLFQ Intensity	CRC_19 MaxLFQ Intensity	CRC_2 MaxLFQ Intensity	CRC_20 MaxLFQ Intensity	CRC_21 MaxLFQ Intensity	CRC_4 MaxLFQ Intensity	CRC_5 MaxLFQ Intensity	CRC_6 MaxLFQ Intensity	CRC_8 MaxLFQ Intensity	CRC_9 MaxLFQ Intensity	Control_1 MaxLFQ Intensity	Control_11 MaxLFQ Intensity	Control_13 MaxLFQ Intensity	Control_15 MaxLFQ Intensity	Control_16 MaxLFQ Intensity	Control_19 MaxLFQ Intensity	Control_2 MaxLFQ Intensity	Control_20 MaxLFQ Intensity	Control_21 MaxLFQ Intensity	Control_4 MaxLFQ Intensity	Control_5 MaxLFQ Intensity	Control_6 MaxLFQ Intensity	Control_8 MaxLFQ Intensity	Control_9 MaxLFQ Intensity	Indistinguishable Proteins
sp|A0A024RBG1|NUD4B_HUMAN	A0A024RBG1	NUD4B_HUMAN	NUDT4B	181	Homo sapiens	1:Experimental evidence at protein level	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	1.0	0.9988	2	9	0	9	0.011049723756906077	0.049723756906077346	0.0	0.049723756906077346	0	0	2	0	1	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	16640922.0	4595191.0	24805732.0	15260062.0	0.0	9199241.0	0.0	6388839.5	0.0	5487169.5	15258134.0	0.0	12526904.0	0.0	0.0	3370637.5	0.0	0.0	1930986.0	0.0	0.0	0.0	3940066.8	0.0	0.0	0.0	0.0	0.0	9704861.0	7396548.0	13583400.0	8948299.0	0.0	5143973.5	0.0	10283655.0	0.0	4891636.5	8681052.0	0.0	11167335.0	0.0	0.0	3004815.8	0.0	0.0	3108169.2	0.0	0.0	0.0	3512443.5	0.0	0.0	0.0	0.0	0.0	sp|Q9NZJ9|NUDT4_HUMAN
sp|A0A075B6I9|LV746_HUMAN	A0A075B6I9	LV746_HUMAN	IGLV7-46	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 7-46	1.0	0.9916	2	8	0	8	0.017094017094017096	0.06837606837606838	0.0	0.06837606837606838	0	1	0	0	0	2	1	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3891334.8	6358731.0	7069257.0	7460174.5	4374830.5	38681068.0	20574782.0	0.0	21703396.0	4610515.5	0.0	12528238.0	5984713.5	6117589.5	0.0	36843284.0	11094234.0	13600672.0	9750619.0	20522596.0	0.0	7735706.0	4834125.0	17751938.0	0.0	12898875.0	8642037.0	5163691.0	7238315.0	6072356.5	6750883.0	7124195.0	4177803.8	24324604.0	12989965.0	0.0	13693721.0	8576071.0	0.0	7612095.0	5715183.5	5842075.0	0.0	23260588.0	10594589.0	12988146.0	9311486.0	12822600.0	0.0	7387317.5	8992010.0	11222782.0	0.0	8143033.0	8252830.5	4931137.0	sp|P04211|LV743_HUMAN
sp|A0A075B6K4|LV310_HUMAN	A0A075B6K4	LV310_HUMAN	IGLV3-10	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-10	1.0	0.9955	2	6	2	6	0.017391304347826087	0.05217391304347826	0.017391304347826087	0.05217391304347826	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0.0	18506840.0	0.0	7433654.0	3939724.2	4619063.0	0.0	3963094.5	24515910.0	11107148.0	2783729.2	41861964.0	0.0	6464445.5	9709527.0	3607523.8	7043613.0	0.0	0.0	4524943.0	9972487.0	8773221.0	13194318.0	8277758.5	0.0	13897398.0	2434555.2	5685693.5	0.0	9728578.0	0.0	7422291.5	3933702.2	4612002.5	0.0	3957036.8	24478436.0	11090170.0	2779474.2	25711946.0	0.0	8658295.0	9694686.0	3602009.5	7032846.5	0.0	0.0	4518026.5	9957244.0	8759811.0	13174150.0	8265105.5	0.0	13876156.0	2430834.0	5677003.0	
sp|A0A075B6K5|LV39_HUMAN	A0A075B6K5	LV39_HUMAN	IGLV3-9	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-9	0.9388	0.999	1	47	0	47	0.008695652173913044	0.40869565217391307	0.0	0.40869565217391307	1	1	2	1	2	2	1	2	2	2	4	1	2	2	2	2	1	1	3	2	1	1	1	3	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	2	2	1	2	2	2	4	1	2	2	2	2	1	1	3	2	1	1	1	3	1	2	0	2	44967656.0	22889374.0	31468366.0	39773768.0	20250396.0	44126584.0	32960218.0	14032709.0	67451200.0	63492316.0	22823700.0	53427472.0	32913502.0	84045200.0	31641284.0	26424282.0	32084106.0	21555520.0	21072952.0	50199504.0	27185250.0	43636980.0	42046284.0	45318996.0	0.0	36139272.0	31536416.0	82825248.0	44967656.0	22889374.0	31468366.0	39773768.0	20250396.0	44126584.0	32960218.0	14032709.0	67451200.0	63492316.0	22823700.0	53427472.0	32913502.0	84045200.0	31641284.0	26424282.0	32084106.0	21555520.0	21072952.0	50199504.0	27185250.0	43636980.0	42046284.0	45318996.0	0.0	36139272.0	31536416.0	82825248.0	sp|P80748|LV321_HUMAN
sp|A0A075B6R9|KVD24_HUMAN	A0A075B6R9	KVD24_HUMAN	IGKV2D-24	120	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin kappa variable 2D-24	0.9998	0.9989	2	5	0	6	0.016666666666666666	0.041666666666666664	0.0	0.05	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	22100042.0	11406967.0	30211378.0	23025538.0	12530732.0	27516062.0	0.0	4893312.5	0.0	27500020.0	13070415.0	0.0	17150620.0	0.0	0.0	0.0	0.0	26540324.0	29067728.0	0.0	0.0	0.0	19621224.0	0.0	0.0	0.0	0.0	0.0	22100042.0	11406967.0	30211378.0	23025538.0	12530732.0	27516062.0	0.0	4893312.5	0.0	27500020.0	13070415.0	0.0	17150620.0	0.0	0.0	0.0	0.0	26540324.0	29067728.0	0.0	0.0	0.0	19621224.0	0.0	0.0	0.0	0.0	0.0	sp|A0A0C4DH68|KV224_HUMAN
sp|A0A075B6S2|KVD29_HUMAN	A0A075B6S2	KVD29_HUMAN	IGKV2D-29	120	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 2D-29	0.9998	0.999	2	28	0	28	0.016666666666666666	0.23333333333333334	0.0	0.23333333333333334	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	0	0	1	1	105582328.0	141620064.0	160677344.0	131081168.0	83907960.0	122955528.0	105757528.0	71790976.0	171328080.0	167886768.0	109280824.0	116364472.0	64754772.0	60044380.0	76399008.0	195755904.0	137080848.0	147208480.0	204263424.0	123359520.0	70036880.0	111020880.0	167922224.0	99961856.0	0.0	60577664.0	45779468.0	88904384.0	98357528.0	105287896.0	160677344.0	114689632.0	79321576.0	122955528.0	96325128.0	61903136.0	142075552.0	156575616.0	96144920.0	105774920.0	64754772.0	60044380.0	69450256.0	179589632.0	132498272.0	135889088.0	181570944.0	110039728.0	70036880.0	106571248.0	140422784.0	99961856.0	0.0	60577664.0	37615644.0	88904384.0	sp|A0A0A0MRZ7|KVD26_HUMAN, sp|A2NJV5|KV229_HUMAN
sp|A0A0A0MRZ8|KVD11_HUMAN	A0A0A0MRZ8	KVD11_HUMAN	IGKV3D-11	115	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 3D-11	1.0	0.9988	2	39	0	39	0.017391304347826087	0.3391304347826087	0.0	0.3391304347826087	0	1	2	2	1	2	1	3	4	1	1	1	1	1	1	2	1	1	2	1	1	2	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	2	1	3	4	1	1	1	1	1	1	2	1	1	2	1	1	2	2	1	1	1	1	1	77553608.0	88290440.0	57063848.0	93024664.0	48052996.0	102813664.0	70910504.0	63429520.0	133966736.0	111717304.0	70301592.0	85198296.0	38121688.0	76803528.0	42656492.0	107999736.0	78058536.0	80766872.0	80807032.0	89831264.0	58148216.0	75305880.0	118379608.0	84137200.0	0.0	46105892.0	40246424.0	91918256.0	77795736.0	69835232.0	47714228.0	76170656.0	36081660.0	86075952.0	50293708.0	50920776.0	114465912.0	92939696.0	70521080.0	63024156.0	38240708.0	59653816.0	42789668.0	86690152.0	65261124.0	81019032.0	63579780.0	60604664.0	58329760.0	64569360.0	95338664.0	68668000.0	0.0	46249836.0	40372076.0	92205232.0	sp|P04433|KV311_HUMAN
sp|A0A0A0MS15|HV349_HUMAN	A0A0A0MS15	HV349_HUMAN	IGHV3-49	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-49	1.0	0.9989	2	3	1	3	0.01680672268907563	0.025210084033613446	0.008403361344537815	0.025210084033613446	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	13589161.0	0.0	0.0	0.0	0.0	0.0	10233031.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4748936.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13589161.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4748936.5	0.0	0.0	0.0	0.0	0.0	
sp|A0A0B4J1U7|HV601_HUMAN	A0A0B4J1U7	HV601_HUMAN	IGHV6-1	121	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 6-1	0.934	0.9989	1	1	1	1	0.008264462809917356	0.008264462809917356	0.008264462809917356	0.008264462809917356	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0B4J1Y9|HV372_HUMAN	A0A0B4J1Y9	HV372_HUMAN	IGHV3-72	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-72	0.9062	0.9984	1	6	6	6	0.008403361344537815	0.05042016806722689	0.05042016806722689	0.05042016806722689	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0.0	9157179.0	7537298.5	0.0	3335215.0	9501501.0	0.0	0.0	14994144.0	0.0	11220603.0	0.0	0.0	6469995.5	0.0	11913214.0	7923042.5	5550020.0	4839543.5	8077720.0	0.0	0.0	8332408.5	0.0	0.0	15581676.0	0.0	0.0	0.0	9157179.0	7537298.5	0.0	3335215.0	9501501.0	0.0	0.0	14994144.0	0.0	11220603.0	0.0	0.0	6469995.5	0.0	11913214.0	7923042.5	5550020.0	4839543.5	8077720.0	0.0	0.0	8332408.5	0.0	0.0	15581676.0	0.0	0.0	
