UNC125_BT474_1	UNC125_MCF10A_1	UNC125_MCF7_1	UNC125_MDA231_1	UNC125_SUM159_1	UNC125_T47D_1	UNC965_BT474_1	UNC965_BT474_2	UNC965_HCC1806_1	UNC965_MCF10A_1	UNC965_MCF7_1	UNC965_MCF7_2	UNC965_MDA231_1	UNC965_MDA231_2	UNC965_SUM159_1	UNC965_SUM159_2	UNC965_T47D_1	UNC965_T47D_2	Organism	Protein.Existence	Protein.Length	Number.Of.Imputations	Normal_vs_Basal_logFC	Normal_vs_Basal_AveExpr	Normal_vs_Basal_t	Normal_vs_Basal_P.Value	Normal_vs_Basal_adj.P.Val	Normal_vs_Basal_B	Normal_vs_Basal_-log(P.Value)	Normal_vs_Basal_-log(adj.P.Val)	Protein	Protein.ID	Entry.Name	Gene	Description	Indistinguishable.Proteins	Normal_vs_Basal_Valid	Normal_vs_Basal_Significant
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	C	C	N	N	N	N	N	N	N	N	N	N	T	T	T	T	T	T	T	T
#!{C:Subtype}Luminal	Normal	Luminal	Basal	Basal	Luminal	Luminal	Luminal	Basal	Normal	Luminal	Luminal	Basal	Basal	Basal	Basal	Luminal	Luminal																				
#!{C:Experiment}UNC125	UNC125	UNC125	UNC125	UNC125	UNC125	UNC965	UNC965	UNC965	UNC965	UNC965	UNC965	UNC965	UNC965	UNC965	UNC965	UNC965	UNC965																				
15.53752613067627	16.315996170043945	15.726655006408691	17.295757293701172	15.256621360778809	16.045684814453125	16.192848205566406	16.356321334838867	16.4908447265625	16.21365737915039	16.072328567504883	16.473003387451172	16.166975021362305	16.425304412841797	16.468355178833008	16.489578247070312	16.152206420898438	15.995323181152344	Homo sapiens	1:Experimental evidence at protein level	295	0	-0.168905320725646	16.2137448149518	-0.221499555575235	0.826856900204354	0.96486608584171	-5.91600252436326	0.0825696450170631	0.0155329583823277	sp|A0A8I5KQE6|RPSA2_HUMAN	A0A8I5KQE6	RPSA2_HUMAN	RPSA2	Small ribosomal subunit protein uS2B	sp|P08865|RSSA_HUMAN	+	
16.242650985717773	16.986156463623047	16.700965881347656	15.867252349853516	17.5845947265625	12.353044509887695	14.615778923034668	13.762310981750488	15.296147346496582	15.964858055114746	16.04061508178711	16.345256805419922	15.934764862060547	15.770425796508789	13.9519624710083	12.503946304321289	16.019357681274414	15.258526802062988	Homo sapiens	1:Experimental evidence at protein level	921	7	-1.41527840161974	15.4355922344083	-1.01757318552962	0.320535740753212	0.939518626128172	-5.44720547497471	0.494123538230998	0.0270946055107693	sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2		+	
13.602265357971191	16.566020965576172	13.64813232421875	12.420695304870605	15.642316818237305	11.86231803894043	15.033546447753906	15.458700180053711	15.696810722351074	15.457619667053223	14.611565589904785	13.625545501708984	13.694660186767578	13.750831604003906	14.454766273498535	14.200572967529297	14.273967742919922	14.442913055419922	Homo sapiens	1:Experimental evidence at protein level	1905	11	-1.99105709212388	14.3657219593679	-2.23234197819134	0.0366873326240452	0.666197031689605	-3.77436676072946	1.43548386275398	0.176397306684916	sp|A3KMH1|VWA8_HUMAN	A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8		+	
16.671619415283203	16.65555191040039	14.938197135925293	15.665390014648438	14.461311340332031	16.107458114624023	15.308937072753906	14.280217170715332	15.961668968200684	16.166173934936523	14.680957794189453	14.45093822479248	14.01064682006836	14.217883110046387	14.443570137023926	13.397255897521973	15.265575408935547	14.49758243560791	Homo sapiens	1:Experimental evidence at protein level	1758	10	-2.05507195865305	15.1031623231845	-1.94058108663464	0.0659415460474059	0.701889985806215	-4.25911481472967	1.18084087472417	0.153730953826748	sp|A6NKT7|RGPD3_HUMAN	A6NKT7	RGPD3_HUMAN	RGPD3	RanBP2-like and GRIP domain-containing protein 3		+	
13.946118354797363	14.161283493041992	13.611857414245605	11.631268501281738	12.405610084533691	11.666206359863281	18.51251792907715	18.127824783325195	17.2551326751709	16.459638595581055	18.40176010131836	18.558874130249023	19.508731842041016	18.97467803955078	19.21385955810547	19.462791442871094	18.465951919555664	18.23019027709961	Homo sapiens	1:Experimental evidence at protein level	123	6	1.19781204684335	16.4834023787831	0.726880973851051	0.475375833510857	0.939518626128172	-5.68532434314021	0.322962900099744	0.0270946055107693	sp|E9PRG8|CK098_HUMAN	E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98		+	
13.205886840820312	13.417855262756348	12.993327140808105	12.286694526672363	12.830059051513672	11.462480545043945	18.239580154418945	18.928775787353516	18.351213455200195	18.177927017211914	18.14596176147461	19.240753173828125	20.602848052978516	19.1675968170166	19.430295944213867	20.245738983154297	18.208236694335938	17.636953353881836			35	6	1.35948218584691	16.6958523685734	0.749434697933949	0.461961932246599	0.939518626128172	-5.66950493345938	0.335393810799725	0.0270946055107693	sp|NC_000002.12|NC_000002.12_99936699_99936806_+	NC_000002.12					+	
17.86722183227539	16.376583099365234	13.298779487609863	19.67824935913086	18.166507720947266	19.801002502441406	14.061491012573242	16.627870559692383	14.974124908447266	14.679160118103027	15.092670440673828	15.249380111694336	17.04033088684082	13.438894271850586	16.617321014404297	16.613452911376953	15.167208671569824	14.878594398498535			80	9	0.916589305596633	16.1566951387177	0.489590361171853	0.629531585605555	0.952243407083487	-5.82358135802426	0.200982475071496	0.0212520255214906	sp|NC_000006.12|NC_000006.12_49359762_49360004_-	NC_000006.12					+	
16.05344009399414	16.566192626953125	17.247602462768555	17.46949005126953	17.1259765625	15.920650482177734	21.25838279724121	20.98586082458496	18.774837493896484	18.465068817138672	20.26230239868164	20.770524978637695	22.440662384033203	22.237388610839844	22.0482120513916	22.74514389038086	20.30776596069336	19.417104721069336			52	0	2.4810491043237	19.375631055272	2.27704969465042	0.0334367283669233	0.666197031689605	-3.69648576811338	1.4757762229107	0.176397306684916	sp|NC_000009.12|NC_000009.12_62266390_62266548_+	NC_000009.12					+	
13.135738372802734	16.993803024291992	18.19931411743164	17.404766082763672	17.218647003173828	16.396310806274414	18.128700256347656	14.5177640914917	18.281505584716797	17.75568199157715	17.618932723999023	18.197566986083984	19.516237258911133	19.01357650756836	17.970611572265625	17.766952514648438	17.586118698120117	17.821548461914062			99	2	0.479720072020079	17.4056991189208	0.459203076467203	0.650836509208491	0.958596408911731	-5.83750144669116	0.186528092946215	0.0183642022926352	sp|NC_000013.11|NC_000013.11_98213227_98213526_-	NC_000013.11					+	
25.02276039123535	24.864591598510742	26.79701805114746	25.711688995361328	25.403385162353516	24.826141357421875	25.439208984375	26.232364654541016	24.920536041259766	25.226850509643555	24.055694580078125	25.412246704101562	26.923816680908203	27.15442657470703	27.110671997070312	27.13842010498047	18.78288459777832	24.05607795715332			48	0	0.844677245705412	25.3055083254981	0.475926919366369	0.639071775943873	0.952243407083487	-5.8299482356914	0.194450362270723	0.0212520255214906	sp|NC_000015.10|NC_000015.10_26854537_26854683_-	NC_000015.10					+	
16.638465881347656	17.229198455810547	17.039154052734375	17.824609756469727	16.552318572998047	16.64189910888672	17.589141845703125	17.25608253479004	16.83517074584961	16.843727111816406	17.53775978088379	17.922569274902344	18.385486602783203	18.31536102294922	17.9567928314209	17.90639305114746	17.51795196533203	17.29628562927246			98	0	0.333931332400041	17.4044128364655	0.508166845437751	0.616666914695332	0.952243407083487	-5.81464324319643	0.209949351639688	0.0212520255214906	sp|NC_000019.10|NC_000019.10_41506152_41506448_+	NC_000019.10					+	
19.225339889526367	19.930316925048828	19.58094024658203	17.485387802124023	16.349414825439453	18.095056533813477	18.68502426147461	19.38125991821289	16.71065330505371	17.02287483215332	17.438739776611328	16.768630981445312	21.105121612548828	20.182764053344727	22.21553611755371	22.163618087768555	18.422327041625977	17.656978607177734			89	0	0.537666130249161	18.7828253671627	0.439792425832919	0.664609151533639	0.96486608584171	-5.84593645399902	0.177433682868929	0.0155329583823277	sp|NC_000019.10|NC_000019.10_9518279_9518548_+	NC_000019.10					+	
15.414068222045898	16.40970802307129	13.786347389221191	15.966325759887695	16.383785247802734	12.883696556091309	14.899016380310059	14.008140563964844	16.133207321166992	15.912067413330078	14.227145195007324	13.499730110168457	16.13882064819336	16.62452507019043	16.376140594482422	16.662872314453125	15.653824806213379	13.798198699951172	Homo sapiens	1:Experimental evidence at protein level	658	7	-0.105717334112544	15.2710212890382	-0.131648384155231	0.896523608952044	0.974704925422125	-5.93147300665656	0.0474382692890921	0.0111268393336873	sp|O00116|ADAS_HUMAN	O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal		+	
17.548566818237305	16.696001052856445	17.793561935424805	17.23722267150879	17.37294578552246	17.15352439880371	16.724634170532227	16.929677963256836	15.011651992797852	16.04119110107422	16.542362213134766	16.311033248901367	16.923622131347656	16.9051456451416	16.63202476501465	16.574413299560547	16.813209533691406	16.420774459838867	Homo sapiens	1:Experimental evidence at protein level	427	0	0.0383182872377752	16.7883673385576	0.0369813410378347	0.970851422871834	0.984015646476864	-5.9392656693199	0.0128472285514484	0.00699799595428958	sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A		+	
13.471896171569824	17.04755210876465	13.117436408996582	13.016288757324219	11.991999626159668	11.54127311706543	14.923625946044922	13.306285858154297	15.311333656311035	15.931709289550781	15.229100227355957	14.044637680053711	14.811851501464844	14.142692565917969	15.307766914367676	13.382262229919434	15.22263240814209	14.549453735351562	Homo sapiens	1:Experimental evidence at protein level	380	15	-2.80919169016782	14.2215343160033	-4.24321132072423	0.000367647314669554	0.0465686598581434	0.239121672262185	3.43456860180826	1.33190625991111	sp|O00154|BACH_HUMAN	O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase		+	+
16.482755661010742	16.48766326904297	15.531454086303711	17.55059051513672	16.32082176208496	14.903575897216797	17.358985900878906	17.04814338684082	15.972627639770508	16.589208602905273	16.56475830078125	16.667835235595703	17.968502044677734	18.05746841430664	16.785327911376953	16.971782684326172	16.023296356201172	15.453125	Homo sapiens	1:Experimental evidence at protein level	1063	0	0.26210983271875	16.5951556509933	0.341297525147601	0.736292718594497	0.96486608584171	-5.88321369343187	0.132949494362177	0.0155329583823277	sp|O00159|MYO1C_HUMAN	O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic		+	
14.231976509094238	13.660100936889648	14.660735130310059	13.10748291015625	13.152606964111328	12.203645706176758	16.36121368408203	16.12645721435547	14.690027236938477	14.683659553527832	16.36414909362793	16.208106994628906	16.448890686035156	16.77041244506836	16.40044593811035	16.37737464904785	16.422462463378906	15.4572114944458	Homo sapiens	1:Experimental evidence at protein level	330	7	0.796604366932662	15.1416481192643	1.07825570657864	0.293228026587925	0.939518626128172	-5.38841095491374	0.532794522397973	0.0270946055107693	sp|O00170|AIP_HUMAN	O00170	AIP_HUMAN	AIP	AH receptor-interacting protein		+	
16.134822845458984	13.479511260986328	17.46615219116211	17.82335090637207	13.487203598022461	15.9249906539917	15.784407615661621	16.66189193725586	14.92628002166748	15.27122974395752	15.398725509643555	13.98619270324707	16.72216033935547	15.693716049194336	14.76119613647461	15.873751640319824	14.77729606628418	16.046796798706055	Homo sapiens	1:Experimental evidence at protein level	241	7	0.992423229590649	15.5813607061072	0.888705915462183	0.384292475416377	0.939518626128172	-5.56181338237574	0.41533811909313	0.0270946055107693	sp|O00299|CLIC1_HUMAN	O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1		+	
12.73935317993164	13.841618537902832	13.369773864746094	13.492622375488281	12.472929000854492	12.389151573181152	17.22627067565918	16.57050895690918	17.167476654052734	16.270021438598633	17.011062622070312	16.64183807373047	17.986835479736328	17.83291244506836	17.3918514251709	17.6285400390625	17.13381004333496	16.652694702148438	Homo sapiens	1:Experimental evidence at protein level	1230	6	0.875602138104199	15.6944156014635	0.784278614200013	0.441690194956063	0.939518626128172	-5.64416974927202	0.35488224150172	0.0270946055107693	sp|O00411|RPOM_HUMAN	O00411	RPOM_HUMAN	POLRMT	DNA-directed RNA polymerase, mitochondrial		+	
13.476120948791504	14.30672836303711	12.809380531311035	12.4638671875	13.194901466369629	13.417701721191406	14.929718017578125	14.823453903198242	16.80002212524414	15.615987777709961	14.837970733642578	14.667542457580566	18.33129119873047	18.040250778198242	17.205623626708984	17.5390625	15.869780540466309	14.340209007263184	Homo sapiens	1:Experimental evidence at protein level	579	11	0.904531323267623	15.0957557546254	1.06438368184723	0.299318331995002	0.939518626128172	-5.40211895339182	0.523866683626021	0.0270946055107693	sp|O00425|IF2B3_HUMAN	O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3		+	
