sequence_id,Label
NC_000011.10_63047389_63047538_+,1
NC_000001.11_146011109_146011291_+,1
NC_000009.12_62266390_62266548_+,1
NC_000012.12_10472430_10472477_-,1
NC_000001.11_168055901_168055984_-,1
NC_000006.12_165135814_165135990_+,1
NC_000005.10_44906301_44906474_+,1
NC_000006.12_51373284_51373364_+,1
NC_000008.11_101028445_101028717_-,1
NC_000017.11_43476366_43476665_+,1
NC_000008.11_113851611_113851709_+,1
NC_000017.11_52671299_52671400_-,1
NC_000023.11_115718942_115719229_-,1
NC_000023.11_106569607_106569765_-,1
NC_000006.12_97878110_97878184_-,1
NC_000016.10_9437973_9438194_-,1
NC_000006.12_52688661_52688732_+,1
NC_000014.9_92026566_92026787_+,1
NC_000019.10_41506152_41506448_+,1
NC_000007.14_119210946_119211164_-,1
NC_000004.12_13338333_13338557_+,1
NC_000009.12_136947694_136947837_+,1
NC_000004.12_124762891_124762956_+,1
NC_000017.11_41175525_41175752_-,1
NC_000009.12_113956455_113956550_-,1
NC_000023.11_65752782_65752832_-,1
NC_000003.12_111737878_111738090_-,1
NC_000003.12_132243609_132243785_-,1
NC_000010.11_68316521_68316622_+,1
NC_000001.11_47068314_47068472_-,1
NC_000006.12_46205654_46205824_+,1
NC_000006.12_37044929_37045189_+,1
NC_000014.9_60397757_60398014_+,1
NC_000016.10_33803021_33803311_+,1
NC_000018.10_13871120_13871275_-,1
NC_000005.10_147669503_147669583_+,1
NC_000019.10_9518279_9518548_+,1
NC_000012.12_53142053_53142334_+,1
NC_000001.11_54825323_54825469_-,1
NC_000007.14_35169350_35169538_+,1
NC_000009.12_26850348_26850500_+,1
NC_000013.11_50674446_50674544_+,1
NC_000017.11_51502493_51502675_-,1
NC_000011.10_106824850_106824957_+,1
NC_000010.11_91807179_91807439_-,1
NC_000001.11_75167767_75167838_-,1
NC_000008.11_101212165_101212269_+,1
NC_000010.11_44414911_44415153_-,1
NC_000019.10_43765580_43765771_-,1
NC_000001.11_203123523_203123591_+,1
NC_000008.11_104767848_104768000_+,1
NC_000023.11_145909144_145909233_-,1
NC_000022.11_16933566_16933853_-,1
NC_000001.11_47817950_47818219_+,1
NC_000006.12_91491427_91491504_-,1
NC_000006.12_101431349_101431450_-,1
NC_000012.12_123383979_123384200_-,1
NC_000002.12_94912470_94912754_+,1
NC_000002.12_238498967_238499236_-,1
NC_000001.11_237802650_237802748_-,1
NC_000023.11_96479759_96479908_+,1
NC_000023.11_141138905_141139174_+,1
NC_000006.12_10112717_10112881_+,1
NC_000003.12_153203606_153203764_-,1
NC_000008.11_86594159_86594260_+,1
NC_000012.12_108003964_108004077_+,1
NC_000011.10_11674208_11674297_+,1
NC_000018.10_78236676_78236942_+,1
NC_000002.12_76358008_76358127_+,1
NC_000002.12_99936699_99936806_+,1
NC_000001.11_228464244_228464417_-,1
NC_000023.11_38479720_38479833_+,1
NC_000002.12_56248065_56248340_-,1
NC_000023.11_81506056_81506133_+,1
NC_000002.12_236792758_236792856_+,1
NC_000001.11_218606556_218606717_-,1
NC_000019.10_12307281_12307448_-,1
NC_000008.11_6264939_6264989_+,1
NC_000001.11_17618478_17618612_-,1
NC_000013.11_98213227_98213526_-,1
NC_000001.11_21205550_21205762_+,1
NC_000023.11_88659128_88659244_+,1
NC_000012.12_62755350_62755643_+,1
NC_000001.11_154657537_154657674_-,1
NC_000018.10_4459277_4459546_+,1
NC_000011.10_60198603_60198632_-,1
NC_000022.11_16914279_16914530_-,1
NC_000006.12_49359762_49360004_-,1
NC_000011.10_81738310_81738495_-,1
NC_000015.10_26854537_26854683_-,1
NC_000001.11_77774673_77774861_-,1
NC_000002.12_230573165_230573443_-,1
NC_000003.12_70814292_70814357_-,1
NC_000007.14_115875933_115876043_+,1
NC_000012.12_122389217_122389279_+,1
NC_000014.9_76546412_76546537_+,1
NC_000012.12_877373_877483_-,0
NC_000009.12_17000517_17000624_-,0
NC_000004.12_113223772_113223846_-,0
NC_000002.12_216609554_216609625_+,0
NC_000007.14_98629733_98629777_-,0
NC_000009.12_122405050_122405325_-,0
NC_000018.10_51317255_51317356_-,0
NC_000011.10_79656763_79656828_-,0
NC_000018.10_79005918_79005980_+,0
NC_000006.12_20371049_20371204_+,0
NC_000011.10_70353379_70353450_-,0
NC_000005.10_123754451_123754537_-,0
NC_000002.12_23303750_23303818_-,0
NC_000003.12_77781211_77781261_-,0
NC_000018.10_28659183_28659254_+,0
NC_000008.11_23611583_23611633_+,0
NC_000003.12_69819051_69819170_-,0
NC_000013.11_83916869_83916919_-,0
NC_000002.12_122796342_122796440_-,0
NC_000016.10_78779689_78779745_-,0
NC_000014.9_96325258_96325308_+,0
NC_000004.12_27215261_27215317_+,0
NC_000001.11_61481593_61481661_+,0
NC_000002.12_198827471_198827521_-,0
NC_000001.11_143591347_143591433_+,0
NC_000003.12_36958013_36958168_-,0
NC_000004.12_10882917_10883057_+,0
NC_000008.11_139155162_139155212_+,0
NC_000021.9_25087846_25087923_-,0
NC_000011.10_97558447_97558473_+,0
NC_000002.12_138997531_138997557_-,0
NC_000019.10_42656313_42656576_+,0
NC_000001.11_45247261_45247338_-,0
NC_000019.10_33286110_33286316_-,0
NC_000001.11_79097484_79097648_-,0
NC_000009.12_100969134_100969214_-,0
NC_000011.10_103868020_103868055_+,0
NC_000003.12_127191928_127191978_-,0
NC_000006.12_37445806_37445925_-,0
NC_000005.10_84521039_84521179_-,0
