C_01	C_02	C_03	C_04	C_05	C_06	C_07	C_08	T_01	T_02	T_03	T_04	T_05	T_06	T_07	Organism	Protein.Existence	Protein.Length	Number.Of.Imputations	C_vs_T_logFC	C_vs_T_AveExpr	C_vs_T_t	C_vs_T_P.Value	C_vs_T_adj.P.Val	C_vs_T_B	C_vs_T_-log(P.Value)	C_vs_T_-log(adj.P.Val)	Protein	Protein.ID	Entry.Name	Gene	Description	Indistinguishable.Proteins	C_vs_T_Valid	C_vs_T_Significant
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	C	C	N	N	N	N	N	N	N	N	N	N	T	T	T	T	T	T	T	T
#!{C:Experiments}C	C	C	C	C	C	C	C	T	T	T	T	T	T	T																				
27.996828079223633	26.810400009155273	27.676116943359375	28.14076042175293	28.916236877441406	28.70065689086914	28.789220809936523	26.768884658813477	27.872940063476562	28.873188018798828	27.608285903930664	27.122379302978516	26.339263916015625	27.091007232666016	26.992753982543945	Homo sapiens	1:Experimental evidence at protein level	116	0	-0.457323235143168	27.715640174946	-1.0014026009307	0.328615122704727	0.521261700447623	-5.66498440971119	0.483312454424723	0.28294418356196	sp|A0A075B6H7|KV37_HUMAN	A0A075B6H7	KV37_HUMAN	IGKV3-7	Probable non-functional immunoglobulin kappa variable 3-7		+	
25.43787384033203	24.61348533630371	25.719816207885742	24.867202758789062	25.554946899414062	25.7779598236084	26.327566146850586	24.84926414489746	23.6989688873291	25.36924934387207	24.73020362854004	23.237043380737305	22.619029998779297	24.280195236206055	24.32908058166504	Homo sapiens	1:Experimental evidence at protein level	122	2	-1.262727378657	24.7707307530952	-2.4428187037171	0.0239968571467561	0.133107566985913	-3.55154364964624	1.61984563383835	0.875797254767144	sp|A0A075B6I0|LV861_HUMAN	A0A075B6I0	LV861_HUMAN	IGLV8-61	Immunoglobulin lambda variable 8-61		+	
24.864126205444336	24.82319450378418	25.7211856842041	24.84406280517578	25.346942901611328	26.620250701904297	25.59038543701172	24.772104263305664	23.732627868652344	26.564056396484375	24.999004364013672	23.287141799926758	21.728973388671875	25.38297462463379	24.534250259399414	Homo sapiens	1:Experimental evidence at protein level	117	1	-0.910840193547941	24.8646505963164	-1.43308065155052	0.167308647492161	0.352223558978431	-5.17660440339611	0.776481611571546	0.453181598987286	sp|A0A075B6I9|LV746_HUMAN	A0A075B6I9	LV746_HUMAN	IGLV7-46	Immunoglobulin lambda variable 7-46		+	
26.536598205566406	26.423208236694336	26.525482177734375	26.37713623046875	27.198505401611328	27.06216049194336	27.271942138671875	25.40363311767578	24.96491241455078	27.451330184936523	24.827625274658203	25.988622665405273	24.839282989501953	25.36112403869629	25.728132247924805	Homo sapiens	1:Experimental evidence at protein level	115	0	-0.906094088156973	26.1370327309777	-1.86856107682865	0.0764286213722307	0.229933564297813	-4.5466330580273	1.11674397419538	0.638397628446415	sp|A0A075B6K5|LV39_HUMAN	A0A075B6K5	LV39_HUMAN	IGLV3-9	Immunoglobulin lambda variable 3-9		+	
25.62103843688965	24.89031219482422	24.767929077148438	24.57769012451172	25.336503982543945	25.29579734802246	25.307109832763672	24.873409271240234	23.8516902923584	25.796411514282227	23.997039794921875	22.969388961791992	22.617572784423828	24.041797637939453	23.918800354003906	Homo sapiens	1:Experimental evidence at protein level	120	0	-1.11446271126642	24.5356500610975	-2.12435116691128	0.0463233409387872	0.182074700325454	-4.12331193876599	1.33420012590075	0.739750396173136	sp|A0A075B6R9|KVD24_HUMAN	A0A075B6R9	KVD24_HUMAN	IGKV2D-24	Probable non-functional immunoglobulin kappa variable 2D-24	sp|A0A0C4DH68|KV224_HUMAN	+	
27.82349967956543	27.679542541503906	27.691740036010742	28.232177734375	28.733182907104492	29.079631805419922	28.387935638427734	27.57667350769043	26.825183868408203	29.050949096679688	27.404863357543945	27.579885482788086	26.600339889526367	27.69660186767578	27.090131759643555	Homo sapiens	1:Experimental evidence at protein level	120	0	-0.593663839851242	27.8363658213807	-1.27910230753931	0.215527929574149	0.406548432512343	-5.36769475718721	0.666496443025389	0.390887709061533	sp|A0A075B6S6|KVD30_HUMAN	A0A075B6S6	KVD30_HUMAN	IGKV2D-30	Immunoglobulin kappa variable 2D-30	sp|P06310|KV230_HUMAN	+	
24.54666519165039	22.64559555053711	23.70560646057129	22.343477249145508	23.664541244506836	22.616764068603516	24.395973205566406	24.026044845581055	22.156038284301758	21.896957397460938	22.47516441345215	22.097253799438477	21.460201263427734	22.27599334716797	21.96864891052246	Homo sapiens	1:Experimental evidence at protein level	117	8	-1.378454589409	22.8295946000933	-2.74470056356448	0.0125037487711354	0.0973427810033567	-2.97263953045494	1.90295976086904	1.01169625047838	sp|A0A075B6S9|KV137_HUMAN	A0A075B6S9	KV137_HUMAN	IGKV1-37	Probable non-functional immunoglobulinn kappa variable 1-37	sp|P0DSN7|KVD37_HUMAN	+	
25.655122756958008	25.738788604736328	25.94022560119629	25.54802894592285	26.71211051940918	26.341655731201172	26.0681095123291	24.796463012695312	24.983213424682617	26.680908203125	25.71391487121582	24.391881942749023	23.89047622680664	24.79016876220703	24.9981746673584	Homo sapiens	1:Experimental evidence at protein level	115	0	-0.690436196731074	25.4897174251137	-1.45818409555018	0.160341723802159	0.346276462521858	-5.14378124524898	0.794953451699457	0.46057702778142	sp|A0A087WSY6|KVD15_HUMAN	A0A087WSY6	KVD15_HUMAN	IGKV3D-15	Immunoglobulin kappa variable 3D-15		+	
25.112077713012695	24.646595001220703	24.72555160522461	24.543031692504883	23.875896453857422	25.150184631347656	24.680574417114258	24.38127899169922	23.67121124267578	24.501697540283203	24.122642517089844	23.750402450561523	22.20716094970703	23.989442825317383	23.760032653808594	Homo sapiens	1:Experimental evidence at protein level	119	0	-0.844937303059922	24.2196503608426	-1.72432468058849	0.100098686090568	0.259759017267191	-4.76889986745281	0.999571623093718	0.585429367422722	sp|A0A0A0MS15|HV349_HUMAN	A0A0A0MS15	HV349_HUMAN	IGHV3-49	Immunoglobulin heavy variable 3-49		+	
23.693891525268555	24.863191604614258	24.480060577392578	23.51101303100586	24.04519271850586	24.248559951782227	24.03677749633789	23.863901138305664	22.19386100769043	25.18587875366211	24.199771881103516	22.479679107666016	21.55419158935547	22.591753005981445	23.52005958557129	Homo sapiens	1:Experimental evidence at protein level	119	3	-0.905898390918441	23.6467370303601	-1.5001029998997	0.149235756347079	0.333199330208888	-5.0879618490962	0.826127109009726	0.477295880275084	sp|A0A0B4J1V0|HV315_HUMAN	A0A0B4J1V0	HV315_HUMAN	IGHV3-15	Immunoglobulin heavy variable 3-15		+	
24.925294876098633	25.52703285217285	22.300243377685547	25.184757232666016	24.925094604492188	25.16323471069336	24.97286605834961	24.33576011657715	23.694318771362305	25.590190887451172	24.07863426208496	22.414505004882812	22.774309158325195	23.92774200439453	21.876218795776367	Homo sapiens	1:Experimental evidence at protein level	119	2	-1.12934203300849	24.1135701853231	-2.06464958055096	0.0521901139422514	0.193397603856986	-4.2252247599079	1.28241175498518	0.713548911008629	sp|A0A0B4J1Y9|HV372_HUMAN	A0A0B4J1Y9	HV372_HUMAN	IGHV3-72	Immunoglobulin heavy variable 3-72		+	
24.4925594329834	24.897960662841797	25.12055778503418	25.211519241333008	25.327327728271484	25.108375549316406	25.96009063720703	24.48568344116211	21.938005447387695	25.483898162841797	24.85127067565918	24.06529998779297	22.58863067626953	20.88911247253418	24.104389190673828	Homo sapiens	1:Experimental evidence at protein level	116	2	-1.5628399435212	24.3142800233565	-2.36727878405154	0.0281345562114119	0.142682392215017	-3.69114867685303	1.55075993092602	0.845629617885182	sp|A0A0C4DH25|KVD20_HUMAN	A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	Immunoglobulin kappa variable 3D-20		+	
26.457595825195312	26.505727767944336	26.481229782104492	26.36257553100586	27.473960876464844	27.41092872619629	27.25966453552246	26.055879592895508	26.005691528320312	26.99477195739746	26.28293228149414	25.746257781982422	25.456911087036133	25.856794357299805	25.365419387817383	Homo sapiens	1:Experimental evidence at protein level	117	0	-0.706536394027118	26.3851487565104	-1.7846616592706	0.0895202750944507	0.246736783063121	-4.67746109458251	1.04807859189729	0.607766101865984	sp|A0A0C4DH29|HV103_HUMAN	A0A0C4DH29	HV103_HUMAN	IGHV1-3	Immunoglobulin heavy variable 1-3		+	
