X078B	X078_102A	X102B	X255A	X255B	X344B	Organism	Protein.Existence	Protein.Length	Number.Of.Imputations	Normal_vs_Luminal_logFC	Normal_vs_Luminal_AveExpr	Normal_vs_Luminal_t	Normal_vs_Luminal_P.Value	Normal_vs_Luminal_adj.P.Val	Normal_vs_Luminal_B	Normal_vs_Luminal_-log(P.Value)	Normal_vs_Luminal_-log(adj.P.Val)	Protein	Protein.ID	Entry.Name	Gene	Description	Indistinguishable.Proteins	Normal_vs_Luminal_Valid	Normal_vs_Luminal_Significant
#!{Type}E	E	E	E	E	E	C	C	N	N	N	N	N	N	N	N	N	N	T	T	T	T	T	T	T	T
#!{C:Experiments}T	N	T	N	T	T																				
#!{C:Subtype}Basal	Normal	Basal	Normal	Luminal	Luminal																				
20.177261352539062	19.50895118713379	20.24663543701172	18.470130920410156	18.33027458190918	18.946687698364258	Homo sapiens	1:Experimental evidence at protein level	115	3	-0.958146103929661	19.2778097818046	-1.19813861878763	0.257363579704649	0.447280152314287	-5.40601060151447	0.589452911403709	0.349420372857139	sp|A0A075B6K5|LV39_HUMAN	A0A075B6K5	LV39_HUMAN	IGLV3-9	Immunoglobulin lambda variable 3-9	sp|P80748|LV321_HUMAN	+	
20.136816024780273	20.49161148071289	21.280961990356445	21.124000549316406	19.82761573791504	20.01428985595703	Homo sapiens	3:Protein inferred from homology	120	1	-1.54291200591384	20.4839491818124	-1.89437508531055	0.086197764661572	0.213240630097327	-4.50992048256525	1.06450399644596	0.671130042863507	sp|A0A075B6P5|KV228_HUMAN	A0A075B6P5	KV228_HUMAN	IGKV2-28	Immunoglobulin kappa variable 2-28	sp|A0A075B6S2|KVD29_HUMAN, sp|A0A075B6S6|KVD30_HUMAN, sp|A0A087WW87|KV240_HUMAN, sp|A0A0A0MRZ7|KVD26_HUMAN, sp|A2NJV5|KV229_HUMAN, sp|NC_000022.11|NC_000022.11_16914279_16914530_-, sp|P01614|KVD40_HUMAN, sp|P01615|KVD28_HUMAN, sp|P06310|KV230_HUMAN	+	
21.19091796875	20.539962768554688	20.207721710205078	21.685758590698242	18.1695613861084	20.62701416015625	Homo sapiens	3:Protein inferred from homology	115	2	-2.3728513667029	20.4131714980359	-2.36616759185147	0.0385511503164048	0.127408391865364	-3.79669823785402	1.41396265863472	0.894801965872	sp|A0A0A0MRZ8|KVD11_HUMAN	A0A0A0MRZ8	KVD11_HUMAN	IGKV3D-11	Immunoglobulin kappa variable 3D-11	sp|P04433|KV311_HUMAN	+	
22.130542755126953	21.530315399169922	20.967905044555664	21.20637321472168	20.995914459228516	20.64537239074707	Homo sapiens	1:Experimental evidence at protein level	295	0	-1.22719133793857	21.2512474339814	-1.48808592996978	0.166307499085206	0.333659223965036	-5.0633258200978	0.779088167269384	0.476696864633847	sp|A0A8I5KQE6|RPSA2_HUMAN	A0A8I5KQE6	RPSA2_HUMAN	RPSA2	Small ribosomal subunit protein uS2B	sp|P08865|RSSA_HUMAN	+	
20.509838104248047	19.52716636657715	18.147642135620117	22.918933868408203	20.743026733398438	21.740520477294922	Homo sapiens	1:Experimental evidence at protein level	387	1	-0.64676494961229	20.6114259933169	-0.5385386001017	0.601502094371026	0.752088576383191	-5.95568570034492	0.22076285615091	0.123731007853728	sp|A4D1E9|GTPBA_HUMAN	A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10		+	
19.771270751953125	20.396032333374023	20.728538513183594	18.726289749145508	19.26218032836914	18.020475387573242	Homo sapiens	1:Experimental evidence at protein level	1004	4	-1.54407167951629	19.4864906465888	-1.67348078083118	0.123899625830656	0.276307130171021	-4.81984796179331	0.906930005164911	0.558607907866787	sp|A6NFI3|ZN316_HUMAN	A6NFI3	ZN316_HUMAN	ZNF316	Zinc finger protein 316		+	
22.03834342956543	20.213703155517578	22.049482345581055	19.021793365478516	16.3808536529541	22.255849838256836	Homo sapiens	1:Experimental evidence at protein level	334	3	-0.926281684040642	20.3176209769748	-0.602194938792022	0.559899592382203	0.720452466012513	-5.91904597657061	0.251889848679734	0.142394667770838	sp|A6NHQ2|FBLL1_HUMAN	A6NHQ2	FBLL1_HUMAN	FBLL1	RNA 2'-O-methyltransferase FBLL1		+	
