CRC_1	CRC_11	CRC_13	CRC_15	CRC_16	CRC_19	CRC_2	CRC_20	CRC_21	CRC_4	CRC_5	CRC_6	CRC_8	CRC_9	Control_1	Control_11	Control_13	Control_15	Control_16	Control_19	Control_2	Control_20	Control_21	Control_4	Control_6	Control_8	Control_9	Organism	Protein.Existence	Protein.Length	Number.Of.Imputations	Control_vs_CRC_logFC	Control_vs_CRC_AveExpr	Control_vs_CRC_t	Control_vs_CRC_P.Value	Control_vs_CRC_adj.P.Val	Control_vs_CRC_B	Control_vs_CRC_-log(P.Value)	Control_vs_CRC_-log(adj.P.Val)	Protein	Protein.ID	Entry.Name	Gene	Description	Indistinguishable.Proteins	Control_vs_CRC_Valid	Control_vs_CRC_Significant
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	C	C	N	N	N	N	N	N	N	N	N	N	T	T	T	T	T	T	T	T
#!{C:Experiments}CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control																				
22.787221908569336	22.533824920654297	22.6866455078125	22.76429557800293	21.994314193725586	24.535913467407227	23.63089370727539	20.530895233154297	23.70701026916504	23.031885147094727	22.349910736083984	22.859861373901367	22.446369171142578	22.478050231933594	21.867515563964844	24.471384048461914	23.336824417114258	23.630691528320312	23.15057945251465	23.612186431884766	22.116453170776367	22.816619873046875	23.10021209716797	23.4199275970459	22.957134246826172	22.976457595825195	22.233488082885742	Homo sapiens	1:Experimental evidence at protein level	117	4	-0.338200456874628	22.8898802805497	-1.101547072226	0.279834647594987	0.416212513513402	-5.77477365375795	0.553098514548476	0.380684866776666	sp|A0A075B6I9|LV746_HUMAN	A0A075B6I9	LV746_HUMAN	IGLV7-46	Immunoglobulin lambda variable 7-46	sp|P04211|LV743_HUMAN	+	
22.04073143005371	23.213796615600586	21.382600784301758	22.82343292236328	21.907455444335938	22.136960983276367	22.353099822998047	21.91598892211914	24.545007705688477	23.40277862548828	21.40637969970703	24.615936279296875	20.997230529785156	23.045652389526367	23.208763122558594	21.780370712280273	22.745677947998047	21.57518768310547	21.97843360900879	22.107261657714844	23.247314453125	23.062467575073242	23.651206970214844	22.978601455688477	23.726104736328125	21.21302032470703	22.43669891357422	Homo sapiens	1:Experimental evidence at protein level	115	6	-0.0646404441567228	22.5760494542876	-0.169674181962039	0.866459774747488	0.911712950255764	-6.35729781053163	0.0622515945319505	0.0401418763019923	sp|A0A075B6K4|LV310_HUMAN	A0A075B6K4	LV310_HUMAN	IGLV3-10	Immunoglobulin lambda variable 3-10		+	
25.42238426208496	24.44817543029785	24.907398223876953	25.24531364440918	24.271446228027344	25.395145416259766	24.97422218322754	23.742290496826172	26.007341384887695	25.92007827758789	24.444028854370117	25.671077728271484	24.97217559814453	26.324661254882812	24.91530418395996	24.65536117553711	24.93535614013672	24.361553192138672	24.328889846801758	25.58116912841797	24.696321487426758	25.379047393798828	25.325475692749023	25.433612823486328	25.10706329345703	24.91051483154297	26.30356788635254	Homo sapiens	1:Experimental evidence at protein level	115	0	0.0240966731461363	25.1000617753204	0.095394286087263	0.924666315361172	0.951409115658382	-6.3671879053208	0.0340149629824687	0.0216326918259671	sp|A0A075B6K5|LV39_HUMAN	A0A075B6K5	LV39_HUMAN	IGLV3-9	Immunoglobulin lambda variable 3-9	sp|P80748|LV321_HUMAN	+	
24.397544860839844	23.44341278076172	24.848588943481445	24.45673179626465	23.578968048095703	24.713769912719727	20.93368148803711	22.222379684448242	21.41698455810547	24.712928771972656	23.639801025390625	22.01719093322754	24.031757354736328	22.082550048828125	22.30172348022461	21.57827377319336	21.510114669799805	24.66168212890625	24.79291534423828	22.15797233581543	21.60378646850586	22.717029571533203	24.22591209411621	22.215543746948242	22.146455764770508	21.793224334716797	21.509422302246094	Homo sapiens	1:Experimental evidence at protein level	120	14	0.742250232495383	22.9503126627444	1.63306457414864	0.113408081990861	0.213300684676359	-5.0917391662195	0.945355994482244	0.671007750501403	sp|A0A075B6R9|KVD24_HUMAN	A0A075B6R9	KVD24_HUMAN	IGKV2D-24	Probable non-functional immunoglobulin kappa variable 2D-24	sp|A0A0C4DH68|KV224_HUMAN	+	
26.551532745361328	26.649765014648438	27.259592056274414	26.77315902709961	26.2412109375	26.87356185913086	26.521408081054688	25.883508682250977	27.082082748413086	27.2222843170166	26.518707275390625	26.656421661376953	25.948482513427734	25.83952522277832	26.049476623535156	27.420129776000977	26.98139762878418	27.017854690551758	27.435958862304688	26.713449478149414	26.06161117553711	26.66724395751953	27.065202713012695	26.574874877929688	25.852283477783203	25.16482925415039	26.405750274658203	Homo sapiens	1:Experimental evidence at protein level	120	0	-0.0265204772703598	26.5710762189363	-0.13173083838859	0.896118702392923	0.932087788068754	-6.36304152468768	0.0476344586640614	0.0305431819825527	sp|A0A075B6S2|KVD29_HUMAN	A0A075B6S2	KVD29_HUMAN	IGKV2D-29	Immunoglobulin kappa variable 2D-29	sp|A0A0A0MRZ7|KVD26_HUMAN, sp|A2NJV5|KV229_HUMAN	+	
26.21318817138672	26.057451248168945	25.507915496826172	26.18273162841797	25.10476303100586	26.359106063842773	25.583873748779297	25.60175132751465	26.770341873168945	26.469791412353516	26.071550369262695	25.909400939941406	25.18860626220703	25.830110549926758	25.350759506225586	26.369365692138672	25.959720611572266	26.271757125854492	25.92206382751465	25.85292625427246	25.7977294921875	25.944345474243164	26.50655746459961	26.03313446044922	25.46294403076172	25.266855239868164	26.458345413208008	Homo sapiens	3:Protein inferred from homology	115	0	-0.0501469516734012	25.928062464688	-0.283499903348972	0.778833934716919	0.85055797553112	-6.33142037373059	0.108555134014834	0.0702960787649601	sp|A0A0A0MRZ8|KVD11_HUMAN	A0A0A0MRZ8	KVD11_HUMAN	IGKV3D-11	Immunoglobulin kappa variable 3D-11	sp|P04433|KV311_HUMAN	+	
25.157047271728516	24.547056198120117	23.86073875427246	24.23391342163086	22.533872604370117	24.267005920410156	24.76274299621582	21.58879852294922	25.158248901367188	24.875926971435547	21.467941284179688	24.670644760131836	21.365615844726562	23.53659439086914	22.490434646606445	24.913484573364258	23.789329528808594	24.230979919433594	21.071910858154297	24.330305099487305	24.471036911010742	22.85110855102539	22.340333938598633	24.656139373779297	24.083576202392578	21.798887252807617	24.69573211669922	Homo sapiens	1:Experimental evidence at protein level	116	5	0.169478915928089	23.622785836998	0.337765332178814	0.738004480401784	0.823607024614294	-6.31453338670672	0.131941001580935	0.084279957903672	sp|A0A0C4DH25|KVD20_HUMAN	A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	Immunoglobulin kappa variable 3D-20		+	
24.434846878051758	23.7919979095459	24.565528869628906	24.400819778442383	24.10871696472168	24.80714988708496	24.5969181060791	24.127532958984375	25.964078903198242	25.153600692749023	24.697681427001953	25.013883590698242	24.599760055541992	24.68482780456543	24.183542251586914	24.578582763671875	24.693836212158203	24.771425247192383	24.687219619750977	25.0924015045166	24.352571487426758	25.241580963134766	25.5911922454834	24.936874389648438	24.827802658081055	23.9962100982666	25.142452239990234	Homo sapiens	1:Experimental evidence at protein level	117	0	-0.165642586330989	24.705602690478	-0.86738031548126	0.392946685408093	0.536626605511768	-5.99861629389281	0.405666370244853	0.270327799162198	sp|A0A0C4DH31|HV118_HUMAN	A0A0C4DH31	HV118_HUMAN	IGHV1-18	Immunoglobulin heavy variable 1-18		+	
