Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	TotalPeptides/Length	SpectralCount/Length	UniqueSpectralCount/Length	TotalSpectralCount/Length	C_01 Spectral Count	C_02 Spectral Count	C_03 Spectral Count	C_04 Spectral Count	C_05 Spectral Count	C_06 Spectral Count	C_07 Spectral Count	C_08 Spectral Count	T_01 Spectral Count	T_02 Spectral Count	T_03 Spectral Count	T_04 Spectral Count	T_05 Spectral Count	T_06 Spectral Count	T_07 Spectral Count	C_01 Unique Spectral Count	C_02 Unique Spectral Count	C_03 Unique Spectral Count	C_04 Unique Spectral Count	C_05 Unique Spectral Count	C_06 Unique Spectral Count	C_07 Unique Spectral Count	C_08 Unique Spectral Count	T_01 Unique Spectral Count	T_02 Unique Spectral Count	T_03 Unique Spectral Count	T_04 Unique Spectral Count	T_05 Unique Spectral Count	T_06 Unique Spectral Count	T_07 Unique Spectral Count	C_01 Total Spectral Count	C_02 Total Spectral Count	C_03 Total Spectral Count	C_04 Total Spectral Count	C_05 Total Spectral Count	C_06 Total Spectral Count	C_07 Total Spectral Count	C_08 Total Spectral Count	T_01 Total Spectral Count	T_02 Total Spectral Count	T_03 Total Spectral Count	T_04 Total Spectral Count	T_05 Total Spectral Count	T_06 Total Spectral Count	T_07 Total Spectral Count	C_01 Intensity	C_02 Intensity	C_03 Intensity	C_04 Intensity	C_05 Intensity	C_06 Intensity	C_07 Intensity	C_08 Intensity	T_01 Intensity	T_02 Intensity	T_03 Intensity	T_04 Intensity	T_05 Intensity	T_06 Intensity	T_07 Intensity	C_01 MaxLFQ Intensity	C_02 MaxLFQ Intensity	C_03 MaxLFQ Intensity	C_04 MaxLFQ Intensity	C_05 MaxLFQ Intensity	C_06 MaxLFQ Intensity	C_07 MaxLFQ Intensity	C_08 MaxLFQ Intensity	T_01 MaxLFQ Intensity	T_02 MaxLFQ Intensity	T_03 MaxLFQ Intensity	T_04 MaxLFQ Intensity	T_05 MaxLFQ Intensity	T_06 MaxLFQ Intensity	T_07 MaxLFQ Intensity	Indistinguishable Proteins
sp|A0A075B6H7|KV37_HUMAN	A0A075B6H7	KV37_HUMAN	IGKV3-7	116	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin kappa variable 3-7	1.0	0.999	3	62	14	62	0.02586206896551724	0.5344827586206896	0.1206896551724138	0.5344827586206896	3	6	4	5	6	3	3	3	4	9	5	3	2	3	3	1	1	1	1	2	1	1	1	1	2	2	0	0	0	0	3	6	4	5	6	3	3	3	4	9	5	3	2	3	3	267845920.0	117688592.0	214457440.0	303794432.0	533523648.0	481878016.0	463894368.0	114350336.0	245805232.0	510412704.0	204607728.0	146099888.0	84900152.0	142957184.0	133545352.0	267845920.0	117688592.0	214457440.0	295946368.0	506587552.0	436273568.0	463894368.0	114350336.0	245805232.0	491695008.0	204607728.0	146099888.0	84900152.0	142957184.0	133545352.0	
sp|A0A075B6H9|LV469_HUMAN	A0A075B6H9	LV469_HUMAN	IGLV4-69	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 4-69	0.9998	0.999	2	6	6	6	0.01680672268907563	0.05042016806722689	0.05042016806722689	0.05042016806722689	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0.0	36045432.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63421780.0	0.0	0.0	0.0	0.0	0.0	0.0	38013176.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45512016.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A075B6I0|LV861_HUMAN	A0A075B6I0	LV861_HUMAN	IGLV8-61	122	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 8-61	0.9916	0.999	1	26	26	26	0.00819672131147541	0.21311475409836064	0.21311475409836064	0.21311475409836064	3	4	1	1	1	3	2	4	2	2	1	0	0	1	1	3	4	1	1	1	3	2	4	2	2	1	0	0	1	1	3	4	1	1	1	3	2	4	2	2	1	0	0	1	1	45453064.0	25668332.0	55263184.0	30603708.0	49295308.0	66518724.0	84214600.0	30225544.0	13617604.0	43341624.0	27831282.0	0.0	0.0	20373578.0	21075750.0	45453064.0	25668332.0	55263184.0	30603708.0	49295308.0	57535956.0	84214600.0	30225544.0	13617604.0	43341624.0	27831282.0	0.0	0.0	20373578.0	21075750.0	
sp|A0A075B6I9|LV746_HUMAN	A0A075B6I9	LV746_HUMAN	IGLV7-46	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 7-46	0.9997	0.9988	2	59	2	59	0.017094017094017096	0.5042735042735043	0.017094017094017096	0.5042735042735043	5	6	4	2	5	5	3	6	2	9	2	2	0	3	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	5	6	4	2	5	5	3	6	2	9	2	2	0	3	5	30538502.0	29684240.0	55315724.0	30116736.0	54117024.0	136152272.0	70540112.0	28651430.0	13939049.0	125516480.0	33531278.0	10235952.0	0.0	43755884.0	34659044.0	30538502.0	29684240.0	55315724.0	30116736.0	42676612.0	103155904.0	50521224.0	28651430.0	13939049.0	99215112.0	33531278.0	10235952.0	0.0	43755884.0	24296582.0	
sp|A0A075B6J9|LV218_HUMAN	A0A075B6J9	LV218_HUMAN	IGLV2-18	118	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 2-18	0.9998	0.999	2	13	13	13	0.01694915254237288	0.11016949152542373	0.11016949152542373	0.11016949152542373	3	2	0	0	0	2	0	0	2	3	0	0	0	0	1	3	2	0	0	0	2	0	0	2	3	0	0	0	0	1	3	2	0	0	0	2	0	0	2	3	0	0	0	0	1	24421706.0	23461614.0	0.0	0.0	0.0	20373766.0	0.0	0.0	7997884.5	41463544.0	0.0	0.0	0.0	0.0	0.0	25730116.0	24718588.0	0.0	0.0	0.0	9702314.0	0.0	0.0	8426377.0	22280600.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A075B6K0|LV316_HUMAN	A0A075B6K0	LV316_HUMAN	IGLV3-16	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-16	0.9998	0.9989	3	4	1	28	0.02608695652173913	0.034782608695652174	0.008695652173913044	0.24347826086956523	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	3	1	1	2	2	3	1	2	2	1	1	1	2	25807776.0	0.0	17153620.0	0.0	0.0	0.0	0.0	9021130.0	0.0	0.0	0.0	0.0	0.0	0.0	12878148.0	25807776.0	0.0	17153620.0	0.0	0.0	0.0	0.0	9021130.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A075B6K5|LV39_HUMAN	A0A075B6K5	LV39_HUMAN	IGLV3-9	115	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-9	1.0	0.999	3	94	4	94	0.02608695652173913	0.8173913043478261	0.034782608695652174	0.8173913043478261	6	10	4	8	9	8	9	4	5	7	3	5	4	5	7	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	6	10	4	8	9	8	9	4	5	7	3	5	4	5	7	120899936.0	121479008.0	117507360.0	152191168.0	258437808.0	222245936.0	254649248.0	66422176.0	59404728.0	232975696.0	44373488.0	66108460.0	38042344.0	55716080.0	84582640.0	97344664.0	89986696.0	96597520.0	87158448.0	154015952.0	140127056.0	162058768.0	44386996.0	32748198.0	183515872.0	29775552.0	66581684.0	30017146.0	43098216.0	55582684.0	
sp|A0A075B6P5|KV228_HUMAN	A0A075B6P5	KV228_HUMAN	IGKV2-28	120	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 2-28	0.9868	0.999	2	4	0	67	0.016666666666666666	0.03333333333333333	0.0	0.5583333333333333	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	11	4	5	6	6	6	7	2	5	0	3	0	2	2	0.0	0.0	0.0	0.0	0.0	17966636.0	0.0	17081476.0	0.0	22878616.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17966636.0	0.0	17081476.0	0.0	22878616.0	0.0	0.0	0.0	0.0	0.0	sp|A0A087WW87|KV240_HUMAN, sp|NC_000022.11|NC_000022.11_16914279_16914530_-, sp|P01614|KVD40_HUMAN, sp|P01615|KVD28_HUMAN
sp|A0A075B6Q5|HV364_HUMAN	A0A075B6Q5	HV364_HUMAN	IGHV3-64	118	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-64	0.9798	0.9982	2	2	1	2	0.01694915254237288	0.01694915254237288	0.00847457627118644	0.01694915254237288	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6991178.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A075B6R9|KVD24_HUMAN	A0A075B6R9	KVD24_HUMAN	IGKV2D-24	120	Homo sapiens	1:Experimental evidence at protein level	Probable non-functional immunoglobulin kappa variable 2D-24	1.0	0.999	2	82	0	82	0.016666666666666666	0.6833333333333333	0.0	0.6833333333333333	8	13	6	4	4	7	7	13	2	9	2	1	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	13	6	4	4	7	7	13	2	9	2	1	0	1	5	98617472.0	56595608.0	51240272.0	46372688.0	81596152.0	75649296.0	115708664.0	96693376.0	14393462.0	104107368.0	28373548.0	7163629.5	6118690.5	16420746.0	46845412.0	51606136.0	31097864.0	28568644.0	25039286.0	42368924.0	41190212.0	41514432.0	30735656.0	15138207.0	58276548.0	16742829.0	8212493.5	6435283.0	17270386.0	15859011.0	sp|A0A0C4DH68|KV224_HUMAN
