P1_LN	P1_PT	P2_ANT	P2_NCT	P2_PT	P3_ANT	P3_NCT	P3_PT	P4_ANT	P4_NCT	P4_PT	P5_ANT	P5_LN	P5_NCT	P5_PT	P6_ANT	P6_LN	P6_NCT	P6_PT	P7_ANT	P7_LN	P7_NCT	P7_PT	Organism	Protein.Existence	Protein.Length	Number.Of.Imputations	ANT_vs_LN_logFC	ANT_vs_LN_AveExpr	ANT_vs_LN_t	ANT_vs_LN_P.Value	ANT_vs_LN_adj.P.Val	ANT_vs_LN_B	ANT_vs_LN_-log(P.Value)	ANT_vs_LN_-log(adj.P.Val)	Protein	Protein.ID	Entry.Name	Gene	Description	Indistinguishable.Proteins	ANT_vs_LN_Valid	ANT_vs_LN_Significant
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	C	C	N	N	N	N	N	N	N	N	N	N	T	T	T	T	T	T	T	T
#!{C:Experiments}LN	PT	ANT	NCT	PT	ANT	NCT	PT	ANT	NCT	PT	ANT	LN	NCT	PT	ANT	LN	NCT	PT	ANT	LN	NCT	PT																				
19.792278289794922	19.556936264038086	23.574920654296875	23.111268997192383	17.458894729614258	22.870479583740234	22.844947814941406	21.93968391418457	22.128746032714844	21.92681884765625	21.28358268737793	22.313722610473633	19.61388397216797	22.824905395507812	20.701030731201172	22.2519588470459	18.419681549072266	23.311922073364258	19.032251358032227	22.32918357849121	20.013885498046875	22.784666061401367	21.142995834350586	Homo sapiens	1:Experimental evidence at protein level	120	2	-4.0202875131868	21.3899520520421	-6.73968548238107	4.8793696570293E-07	9.02204898683342E-06	6.37087610688275	6.31163627884886	5.04469481915211	sp|A0A075B6R9|KVD24_HUMAN	A0A075B6R9	KVD24_HUMAN	IGKV2D-24	Probable non-functional immunoglobulin kappa variable 2D-24	sp|A0A0C4DH68|KV224_HUMAN	+	+
17.81926918029785	16.808950424194336	22.446922302246094	21.508394241333008	17.763463973999023	20.378873825073242	20.284866333007812	19.972618103027344	21.518564224243164	21.95134925842285	21.717309951782227	21.9412841796875	17.651538848876953	21.78889274597168	19.678932189941406	21.03458023071289	19.66205596923828	20.48225212097168	19.562942504882812	21.344560623168945	18.317813873291016	21.79277229309082	17.014541625976562	Homo sapiens	1:Experimental evidence at protein level	117	6	-3.93661262900033	20.1344050450385	-5.82233012873916	4.71701943082731E-06	5.09769117436776E-05	4.15221812461002	5.32633233476051	4.29262647826858	sp|A0A075B6S5|KV127_HUMAN	A0A075B6S5	KV127_HUMAN	IGKV1-27	Immunoglobulin kappa variable 1-27	sp|A0A0C4DH67|KV108_HUMAN, sp|A0A0C4DH69|KV109_HUMAN	+	+
23.050045013427734	22.151756286621094	25.698972702026367	25.309112548828125	22.494285583496094	23.357187271118164	23.75558090209961	23.761362075805664	23.378509521484375	23.939434051513672	23.4918155670166	24.344022750854492	22.044857025146484	24.836376190185547	22.758150100708008	23.70262908935547	22.875532150268555	25.24007797241211	23.563833236694336	24.19093894958496	22.739439010620117	25.15205192565918	23.183645248413086	Homo sapiens	1:Experimental evidence at protein level	120	0	-2.4376490017449	23.7168569579296	-5.38160186472787	1.44324783234439E-05	0.000123908106581762	3.05906151580306	4.84065908610827	3.90690027934987	sp|A0A075B6S6|KVD30_HUMAN	A0A075B6S6	KVD30_HUMAN	IGKV2D-30	Immunoglobulin kappa variable 2D-30		+	+
21.81328773498535	20.981117248535156	22.693355560302734	23.65262222290039	21.79072380065918	23.442005157470703	23.195650100708008	22.303146362304688	22.938926696777344	23.45835304260254	22.249645233154297	23.146421432495117	21.31687355041504	23.887187957763672	22.04128074645996	22.7834415435791	22.576129913330078	23.878747940063477	20.139238357543945	23.835308074951172	23.542024612426758	22.80543327331543	21.783021926879883	Homo sapiens	3:Protein inferred from homology	115	0	-1.80899403462282	22.6382754308041	-4.35637873693366	0.000201754904934002	0.00105771082076038	0.491047965424561	3.69517589819262	2.97563305263595	sp|A0A0A0MRZ8|KVD11_HUMAN	A0A0A0MRZ8	KVD11_HUMAN	IGKV3D-11	Immunoglobulin kappa variable 3D-11	sp|P04433|KV311_HUMAN	+	+
18.566448211669922	18.39727210998535	21.587818145751953	20.525320053100586	17.047880172729492	21.047489166259766	20.94284439086914	20.212697982788086	20.847509384155273	21.193038940429688	20.454639434814453	20.529037475585938	16.84383773803711	21.289859771728516	18.944578170776367	18.506927490234375	17.02889633178711	20.370859146118164	20.06495475769043	18.71714973449707	17.0499267578125	19.018712997436523	17.90757179260254	Homo sapiens	1:Experimental evidence at protein level	119	6	-3.63120522988106	19.4600760647023	-5.62322366262373	7.80310579679958E-06	7.51048932941959E-05	3.66004351722772	5.10773250475244	4.1243317665719	sp|A0A0A0MS15|HV349_HUMAN	A0A0A0MS15	HV349_HUMAN	IGHV3-49	Immunoglobulin heavy variable 3-49		+	+
17.144948959350586	17.453615188598633	22.299198150634766	22.108182907104492	17.43804931640625	21.808679580688477	22.095928192138672	21.48737907409668	21.215639114379883	20.592559814453125	20.36725425720215	21.663532257080078	19.812528610229492	22.6466121673584	19.533641815185547	21.112470626831055	17.58169174194336	22.233821868896484	17.717140197753906	21.448177337646484	17.7105770111084	22.259307861328125	17.365995407104492	Homo sapiens	1:Experimental evidence at protein level	116	7	-4.38233205905268	20.2587959466993	-6.39884067187392	1.12163111220727E-06	1.60797682885648E-05	5.55712392140332	5.95014995259377	4.79372021377928	sp|A0A0C4DH25|KVD20_HUMAN	A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	Immunoglobulin kappa variable 3D-20		+	+
20.12905502319336	16.685758590698242	22.384408950805664	20.40335464477539	18.621370315551758	20.674760818481445	21.12968635559082	18.243671417236328	21.10753059387207	18.43465805053711	18.30447769165039	21.38188934326172	17.5197811126709	21.49922752380371	17.829753875732422	20.418596267700195	19.307907104492188	22.369848251342773	20.308673858642578	20.779394149780273	17.085758209228516	21.497020721435547	17.587472915649414	Homo sapiens	1:Experimental evidence at protein level	117	9	-3.45755784218375	19.7608946264538	-4.72061159187262	7.88684324840339E-05	0.000491979285166227	1.40303268068583	4.10309679072335	3.30805318285743	sp|A0A0C4DH38|HV551_HUMAN	A0A0C4DH38	HV551_HUMAN	IGHV5-51	Immunoglobulin heavy variable 5-51		+	+
17.08104705810547	18.21611213684082	21.611103057861328	21.02898597717285	17.134811401367188	19.802248001098633	20.790019989013672	18.621334075927734	18.74919891357422	20.292217254638672	19.267215728759766	20.666385650634766	18.544307708740234	21.082826614379883	17.84516143798828	19.319103240966797	17.715530395507812	21.584260940551758	17.98202133178711	20.281536102294922	18.0394229888916	20.988094329833984	17.95578956604004	Homo sapiens	1:Experimental evidence at protein level	117	12	-3.04188381326888	19.3584590304464	-6.40244817142878	1.11171628100166E-06	1.60797682885648E-05	5.56580700101475	5.9540060340823	4.79372021377928	sp|A0A0J9YX35|HV64D_HUMAN	A0A0J9YX35	HV64D_HUMAN	IGHV3-64D	Immunoglobulin heavy variable 3-64D		+	+
